cv volume value,ecmop1,ppcw,ppadia,ppaavg,pcv,ppasys,paodia,ecmop2,ecmop3,paoavg,cor,col
983.1832,-21.1841,8.2457,8.125,10.4057,4.2561,21.9163,86.3112,170.5955,149.2955,100.9554,3.9476,3.9476
987.988,-21.1601,8.331,8.2104,10.497,4.2726,22.0427,86.4362,170.7396,149.4396,101.1221,3.9586,3.9586
992.7928,-21.136,8.4163,8.2958,10.5883,4.2891,22.1692,86.5613,170.8838,149.5838,101.2887,3.9696,3.9696
997.5976,-21.112,8.5016,8.3813,10.6796,4.3056,22.2957,86.6864,171.0279,149.7279,101.4553,3.9805,3.9806
1002.4024,-21.088,8.5873,8.4672,10.7713,4.3222,22.4219,86.8094,171.1601,149.8721,101.6189,3.9913,3.9914
1007.2072,-21.064,8.6735,8.5536,10.8632,4.3388,22.548,86.9303,171.2802,150.0162,101.7795,4.0019,4.0019
1012.012,-21.0399,8.7597,8.64,10.9552,4.3555,22.674,87.0512,171.4003,150.1604,101.9402,4.0125,4.0124
1016.8168,-21.0159,8.8459,8.7264,11.0472,4.3721,22.8001,87.1721,171.5204,150.3045,102.1008,4.0232,4.0229
1021.6216,-20.9919,8.9329,8.8136,11.1398,4.3887,22.9257,87.2901,171.6405,150.4405,102.2567,4.0334,4.0331
1026.4264,-20.9679,9.0215,8.9026,11.2336,4.4054,23.0503,87.4026,171.7607,150.5607,102.4035,4.0429,4.0426
1031.2312,-20.9438,9.11,8.9915,11.3273,4.4221,23.175,87.515,171.8808,150.6808,102.5503,4.0524,4.0522
1036.036,-20.9198,9.1986,9.0804,11.4211,4.4388,23.2996,87.6274,172.0009,150.8009,102.6971,4.0619,4.0617
1040.8408,-20.8958,9.2872,9.1694,11.5149,4.4554,23.4243,87.7399,172.121,150.921,102.8439,4.0714,4.0713
1045.6456,-20.8718,9.3758,9.2583,11.6087,4.4721,23.5489,87.8523,172.2411,151.0411,102.9907,4.0809,4.0808
1050.4505,-20.8477,9.4644,9.3472,11.7025,4.4888,23.6736,87.9647,172.3613,151.1613,103.1374,4.0905,4.0903
1055.2553,-20.8237,9.5529,9.4362,11.7963,4.5055,23.7982,88.0771,172.4814,151.2814,103.2842,4.1,4.0999
1060.0601,-20.7997,9.6415,9.5251,11.8901,4.5222,23.9229,88.1896,172.6015,151.4015,103.431,4.1095,4.1094
1064.8649,-20.7757,9.7301,9.614,11.9839,4.5388,24.0475,88.302,172.7216,151.5216,103.5778,4.119,4.119
1069.6697,-20.7517,9.8187,9.703,12.0777,4.5555,24.1722,88.4144,172.8417,151.6417,103.7246,4.1285,4.1285
1074.4745,-20.7276,9.9073,9.7919,12.1715,4.5722,24.2968,88.5269,172.9619,151.7619,103.8714,4.138,4.138
1079.2793,-20.7036,9.9959,9.8808,12.2653,4.5889,24.4215,88.6393,173.082,151.882,104.0181,4.1475,4.1476
1084.0841,-20.6796,10.0844,9.9698,12.359,4.6056,24.5461,88.7517,173.2021,152.0021,104.1649,4.157,4.1571
1088.8889,-20.6556,10.173,10.0587,12.4528,4.6222,24.6708,88.8641,173.3222,152.1222,104.3117,4.1666,4.1667
1093.6937,-20.6315,10.2616,10.1476,12.5466,4.6389,24.7954,88.9766,173.4423,152.2423,104.4585,4.1761,4.1762
1098.4985,-20.6075,10.3502,10.2365,12.6404,4.6556,24.9201,89.089,173.5625,152.3625,104.6053,4.1856,4.1857
1103.3033,-20.5835,10.44,10.3268,12.7351,4.6726,25.0434,89.1945,173.6743,152.4743,104.7417,4.1944,4.1945
1108.1081,-20.5595,10.5304,10.4177,12.8301,4.6896,25.1661,89.2969,173.7824,152.5824,104.8734,4.203,4.203
1112.9129,-20.5354,10.6208,10.5086,12.9252,4.7067,25.2889,89.3993,173.8905,152.6905,105.0051,4.2116,4.2114
1117.7177,-20.5114,10.7111,10.5995,13.0202,4.7238,25.4116,89.5018,173.9986,152.7986,105.1369,4.2201,4.2199
1122.5225,-20.4874,10.8015,10.6904,13.1153,4.7409,25.5343,89.6042,174.1068,152.9068,105.2686,4.2287,4.2284
1127.3273,-20.4634,10.8919,10.7813,13.2103,4.7579,25.6571,89.7066,174.2149,153.0149,105.4003,4.2372,4.2368
1132.1321,-20.4393,10.9823,10.8722,13.3054,4.775,25.7798,89.809,174.323,153.123,105.532,4.2458,4.2453
1136.9369,-20.4153,11.0727,10.963,13.4004,4.7921,25.9026,89.9114,174.4311,153.2311,105.6637,4.2544,4.2537
1141.7417,-20.3942,11.1635,11.0544,13.4958,4.8092,26.0247,90.0107,174.5377,153.3377,105.7921,4.2626,4.2619
1146.5465,-20.3782,11.2553,11.1468,13.5917,4.8266,26.1457,90.1046,174.6418,153.4418,105.9148,4.2703,4.2696
1151.3514,-20.3622,11.347,11.2391,13.6876,4.8439,26.2667,90.1985,174.7459,153.5459,106.0375,4.2779,4.2773
1156.1562,-20.3461,11.4387,11.3314,13.7836,4.8612,26.3877,90.2924,174.8501,153.6501,106.1602,4.2856,4.2851
1160.961,-20.3301,11.5304,11.4237,13.8795,4.8785,26.5088,90.3863,174.9542,153.7542,106.2829,4.2933,4.2928
1165.7658,-20.3141,11.6222,11.516,13.9754,4.8958,26.6298,90.4802,175.0583,153.8583,106.4056,4.3009,4.3005
1170.5706,-20.2981,11.7139,11.6083,14.0713,4.9131,26.7508,90.5741,175.1624,153.9624,106.5282,4.3086,4.3082
1175.3754,-20.2821,11.8056,11.7006,14.1673,4.9304,26.8718,90.668,175.2665,154.0665,106.6509,4.3163,4.316
1180.1802,-20.2661,11.8973,11.793,14.2632,4.9477,26.9929,90.7619,175.3706,154.1706,106.7736,4.3239,4.3237
1184.985,-20.2501,11.9891,11.8853,14.3591,4.965,27.1139,90.8558,175.4747,154.2747,106.8963,4.3316,4.3314
1189.7898,-20.234,12.0808,11.9776,14.4551,4.9824,27.2349,90.9497,175.5788,154.3788,107.019,4.3392,4.3391
1194.5946,-20.218,12.1725,12.0699,14.551,4.9997,27.3559,91.0436,175.6829,154.4829,107.1416,4.3469,4.3468
1199.3994,-20.202,12.2642,12.1622,14.6469,5.017,27.4769,91.1375,175.787,154.587,107.2643,4.3546,4.3546
1204.2042,-20.179,12.3564,12.255,14.7431,5.0346,27.5969,91.2316,175.8841,154.6841,107.3805,4.3618,4.3618
1209.009,-20.155,12.4487,12.3479,14.8392,5.0523,27.7167,91.3257,175.9802,154.7802,107.4958,4.369,4.369
1213.8138,-20.1309,12.5409,12.4408,14.9354,5.07,27.8365,91.4198,176.0763,154.8763,107.6111,4.3762,4.3762
1218.6186,-20.1069,12.6331,12.5337,15.0316,5.0877,27.9563,91.5139,176.1724,154.9724,107.7263,4.3833,4.3833
