venous_r,caSys_O2sat,cvSys_O2sat,pcv,paosys,bgDO2,cvSys_pO2,paoavg,left flow,ecmoUnitFlow,ecmop2
51.7,99.73,83.94,5.03,137.62,1207.68,48.74,100.63,2.16,16.19,143.66
52.91,99.73,83.93,5.03,137.5,1206.06,48.73,100.5,2.14,16.09,143.08
54.11,99.73,83.86,5.03,137.41,1203.66,48.64,100.36,2.13,15.98,142.61
55.31,99.73,83.85,5.03,137.3,1199.49,48.62,100.07,2.1,15.75,143.6
56.51,99.72,83.71,5.03,137.14,1196.4,48.45,99.84,2.08,15.6,143.56
57.72,99.71,83.68,5.03,137.01,1194.25,48.42,99.68,2.07,15.49,143.26
58.92,99.71,83.63,5.03,136.89,1191.61,48.34,99.52,2.05,15.35,142.81
60.12,99.71,83.56,5.04,136.77,1188.63,48.25,99.34,2.03,15.21,142.35
61.32,99.7,83.43,5.04,136.58,1185.7,48.1,99.12,2.01,15.06,141.85
62.53,99.69,83.39,5.04,136.39,1183.45,48.05,98.93,1.99,14.94,141.44
63.73,99.69,83.32,5.04,136.31,1181.28,47.96,98.79,1.98,14.83,141.08
64.93,99.68,83.25,5.04,136.12,1178.18,47.88,98.58,1.96,14.68,140.65
66.13,99.68,83.23,5.04,135.98,1175.82,47.85,98.41,1.94,14.54,140.29
67.33,99.67,83.15,5.04,135.81,1172.65,47.76,98.21,1.92,14.4,140.04
68.54,99.67,83.08,5.04,135.7,1170.56,47.67,98.08,1.91,14.29,139.79
69.74,99.67,83.07,5.04,135.59,1169.81,47.66,97.99,1.9,14.25,139.61
70.94,99.66,83.02,5.04,135.53,1168.12,47.6,97.91,1.89,14.16,139.42
72.14,99.67,83.07,5.04,135.49,1167.8,47.66,97.88,1.88,14.13,139.3
73.35,99.67,83.06,5.04,135.48,1167.52,47.65,97.86,1.88,14.12,139.2
74.55,99.67,82.99,5.04,135.45,1167.52,47.56,97.84,1.88,14.12,139.09
75.75,99.66,82.99,5.04,135.43,1167.19,47.56,97.82,1.88,14.11,138.99
76.95,99.66,82.99,5.04,135.43,1166.28,47.56,97.8,1.88,14.08,138.9
78.16,99.66,82.97,5.04,135.39,1166.42,47.54,97.78,1.88,14.09,138.78
79.36,99.66,82.98,5.04,135.38,1166.05,47.55,97.75,1.87,14.05,138.63
80.56,99.66,82.97,5.04,135.35,1165.79,47.54,97.73,1.87,14.05,138.51
81.76,99.66,82.93,5.04,135.34,1165.2,47.48,97.71,1.87,14.0,138.44
82.97,99.66,82.97,5.04,135.32,1165.07,47.54,97.69,1.87,14.01,138.33
84.17,99.66,82.98,5.04,135.3,1165.43,47.55,97.67,1.87,14.01,138.2
85.37,99.66,82.92,5.04,135.27,1164.73,47.47,97.65,1.87,13.99,138.09
86.57,99.66,82.99,5.04,135.26,1164.7,47.56,97.63,1.86,13.97,138.0
87.78,99.67,82.99,5.04,135.24,1164.73,47.56,97.61,1.86,13.96,137.89
88.98,99.67,82.99,5.04,135.23,1164.48,47.56,97.6,1.86,13.94,137.8
90.18,99.67,82.99,5.04,135.21,1163.77,47.56,97.58,1.85,13.91,137.67
91.38,99.66,82.93,5.04,135.2,1163.36,47.49,97.55,1.85,13.89,137.59
92.59,99.66,82.91,5.04,135.17,1163.31,47.46,97.53,1.85,13.9,137.47
93.79,99.65,82.91,5.04,135.16,1162.22,47.46,97.5,1.85,13.86,137.33
94.99,99.65,82.9,5.04,135.13,1162.36,47.45,97.49,1.85,13.87,137.22
96.19,99.65,82.83,5.04,135.12,1161.17,47.36,97.47,1.84,13.82,137.1
97.39,99.66,82.83,5.04,135.09,1161.89,47.36,97.45,1.84,13.84,137.0
98.6,99.65,82.85,5.04,135.08,1160.8,47.38,97.42,1.84,13.79,136.88
99.8,99.64,82.85,5.04,135.05,1160.32,47.38,97.39,1.84,13.77,136.72
101.0,99.66,82.9,5.04,135.03,1160.84,47.45,97.38,1.84,13.78,136.61
102.2,99.64,82.84,5.04,135.01,1160.17,47.37,97.36,1.84,13.77,136.51
103.41,99.66,82.83,5.04,135.0,1159.93,47.36,97.33,1.83,13.73,136.4
104.61,99.64,82.83,5.04,134.97,1159.74,47.36,97.31,1.83,13.74,136.28
105.81,99.65,82.83,5.04,134.95,1159.16,47.36,97.28,1.82,13.7,136.13
107.01,99.65,82.83,5.04,134.92,1159.0,47.36,97.26,1.83,13.69,135.97
108.22,99.65,82.83,5.04,134.91,1158.05,47.36,97.23,1.82,13.65,135.87
109.42,99.64,82.75,5.04,134.87,1158.08,47.27,97.2,1.82,13.66,135.73
110.62,99.64,82.75,5.04,134.86,1156.87,47.27,97.18,1.81,13.61,135.61
111.82,99.64,82.75,5.04,134.83,1156.59,47.27,97.15,1.81,13.59,135.42
113.03,99.64,82.75,5.04,134.81,1156.35,47.27,97.12,1.81,13.57,135.3
114.23,99.65,82.75,5.04,134.78,1156.74,47.27,97.1,1.81,13.58,135.21
115.43,99.65,82.75,5.04,134.75,1156.4,47.27,97.06,1.81,13.55,135.02
116.63,99.63,82.69,5.04,134.73,1155.23,47.21,97.04,1.8,13.52,134.87
117.84,99.64,82.75,5.04,134.7,1155.03,47.27,97.0,1.8,13.49,134.72
119.04,99.64,82.75,5.04,134.67,1154.54,47.27,96.97,1.79,13.46,134.51
120.24,99.64,82.73,5.04,134.64,1154.43,47.25,96.94,1.8,13.46,134.38
121.44,99.63,82.66,5.04,134.61,1153.41,47.17,96.9,1.79,13.42,134.19
122.65,99.63,82.66,5.04,134.58,1152.37,47.17,96.87,1.78,13.38,134.0
123.85,99.64,82.66,5.04,134.54,1152.5,47.17,96.83,1.78,13.36,133.81
125.05,99.64,82.66,5.04,134.52,1152.04,47.17,96.8,1.78,13.34,133.68
126.25,99.63,82.64,5.05,134.48,1151.63,47.14,96.76,1.78,13.32,133.44
127.45,99.64,82.66,5.05,134.46,1151.08,47.17,96.73,1.77,13.28,133.31
128.66,99.64,82.66,5.05,134.42,1150.97,47.17,96.69,1.77,13.27,133.08
129.86,99.63,82.61,5.05,134.39,1149.87,47.11,96.65,1.76,13.23,132.93
131.06,99.63,82.58,5.05,134.35,1149.51,47.07,96.61,1.76,13.22,132.7
132.26,99.62,82.54,5.05,134.31,1148.7,47.01,96.57,1.76,13.19,132.5
133.47,99.62,82.53,5.05,134.28,1147.99,47.0,96.52,1.75,13.14,132.32
134.67,99.63,82.54,5.05,134.24,1147.8,47.03,96.49,1.75,13.13,132.09
135.87,99.62,82.5,5.05,134.19,1146.47,46.97,96.43,1.74,13.06,131.81
137.07,99.63,82.5,5.05,134.16,1146.29,46.97,96.39,1.74,13.04,131.6
138.28,99.62,82.5,5.05,134.12,1145.65,46.97,96.35,1.73,13.01,131.42
139.48,99.61,82.5,5.05,134.09,1144.85,46.97,96.31,1.73,12.98,131.23
140.68,99.61,82.42,5.05,134.06,1143.81,46.89,96.28,1.73,12.95,131.08
141.88,99.61,82.41,5.05,134.01,1143.78,46.88,96.22,1.72,12.94,130.81
143.09,99.61,82.41,5.05,133.97,1143.36,46.88,96.18,1.72,12.9,130.57
144.29,99.61,82.41,5.05,133.92,1142.67,46.88,96.13,1.72,12.86,130.32
145.49,99.61,82.41,5.05,133.89,1141.83,46.88,96.09,1.71,12.82,130.11
146.69,99.61,82.39,5.05,133.84,1140.77,46.85,96.05,1.7,12.78,129.88
147.9,99.6,82.33,5.05,133.79,1139.74,46.78,95.99,1.7,12.74,129.61
149.1,99.61,82.38,5.05,133.76,1139.86,46.85,95.95,1.7,12.73,129.47
150.3,99.59,82.33,5.05,133.72,1138.85,46.78,95.91,1.69,12.69,129.23
151.5,99.6,82.33,5.05,133.69,1138.77,46.78,95.87,1.69,12.66,129.04
152.71,99.6,82.33,5.05,133.63,1137.61,46.78,95.81,1.68,12.6,128.77
153.91,99.6,82.31,5.05,133.58,1136.81,46.76,95.76,1.68,12.56,128.52
155.11,99.6,82.24,5.05,133.55,1136.36,46.68,95.71,1.68,12.55,128.26
156.31,99.59,82.24,5.05,133.5,1135.39,46.67,95.67,1.67,12.51,128.01
157.52,99.59,82.21,5.05,133.47,1135.11,46.64,95.63,1.67,12.49,127.87
158.72,99.59,82.23,5.05,133.43,1134.47,46.66,95.59,1.66,12.45,127.69
159.92,99.59,82.24,5.05,133.38,1133.86,46.68,95.53,1.66,12.41,127.42
161.12,99.59,82.17,5.05,133.35,1133.31,46.59,95.49,1.65,12.39,127.19
162.32,99.58,82.16,5.05,133.3,1132.4,46.58,95.44,1.65,12.35,126.93
163.53,99.57,82.08,5.05,133.25,1131.24,46.49,95.4,1.64,12.31,126.68
164.73,99.59,82.15,5.05,133.22,1131.1,46.57,95.36,1.64,12.28,126.57
165.93,99.58,82.07,5.05,133.17,1130.22,46.48,95.3,1.63,12.24,126.31
167.13,99.58,82.07,5.05,133.13,1129.88,46.48,95.25,1.63,12.22,126.07
168.34,99.58,82.07,5.05,133.08,1128.71,46.48,95.2,1.62,12.16,125.81
169.54,99.57,82.07,5.05,133.03,1127.67,46.48,95.16,1.62,12.12,125.6
170.74,99.56,81.99,5.05,133.0,1127.05,46.4,95.13,1.61,12.1,125.48
171.94,99.58,82.04,5.05,132.95,1126.86,46.45,95.07,1.61,12.06,125.23
173.15,99.57,81.98,5.05,132.92,1126.26,46.39,95.03,1.6,12.03,125.04
174.35,99.58,81.98,5.05,132.9,1125.95,46.39,94.99,1.6,12.01,124.8
175.55,99.57,81.98,5.05,132.82,1124.84,46.39,94.91,1.59,11.95,124.42
176.75,99.57,81.98,5.05,132.8,1124.25,46.39,94.89,1.59,11.93,124.26
177.96,99.56,81.97,5.05,132.76,1123.55,46.38,94.85,1.59,11.9,124.12
179.16,99.55,81.9,5.05,132.72,1122.52,46.29,94.8,1.58,11.86,123.88
180.36,99.56,81.9,5.06,132.68,1122.33,46.29,94.76,1.58,11.84,123.69
181.56,99.56,81.9,5.06,132.61,1121.42,46.29,94.69,1.57,11.78,123.41
182.77,99.56,81.9,5.06,132.57,1120.89,46.29,94.65,1.57,11.76,123.32
183.97,99.55,81.89,5.06,132.54,1120.18,46.28,94.61,1.56,11.73,123.07
185.17,99.54,81.81,5.06,132.51,1119.12,46.19,94.57,1.56,11.69,122.83
186.37,99.54,81.81,5.06,132.47,1118.45,46.19,94.53,1.56,11.66,122.61
187.58,99.55,81.81,5.06,132.41,1118.02,46.19,94.45,1.55,11.61,122.32
188.78,99.55,81.81,5.06,132.38,1117.57,46.19,94.42,1.54,11.59,122.16
189.98,99.55,81.8,5.06,132.34,1116.97,46.18,94.38,1.54,11.56,122.03
191.18,99.54,81.73,5.06,132.28,1115.88,46.1,94.33,1.54,11.51,121.74
192.38,99.53,81.72,5.06,132.25,1115.21,46.09,94.29,1.53,11.48,121.57
193.59,99.53,81.66,5.06,132.19,1114.29,46.03,94.23,1.52,11.44,121.33
194.79,99.53,81.7,5.06,132.15,1113.8,46.07,94.19,1.52,11.41,121.2
195.99,99.53,81.71,5.06,132.12,1113.43,46.08,94.15,1.52,11.39,121.05
197.19,99.53,81.64,5.06,132.07,1112.58,46.01,94.1,1.51,11.35,120.71
198.4,99.53,81.62,5.06,132.03,1111.72,45.99,94.05,1.51,11.31,120.52
199.6,99.51,81.57,5.06,131.98,1110.67,45.93,94.0,1.5,11.27,120.24
200.8,99.52,81.54,5.06,131.95,1110.37,45.9,93.96,1.5,11.24,120.06
202.0,99.52,81.54,5.06,131.9,1109.71,45.9,93.9,1.49,11.2,119.93
203.21,99.52,81.54,5.06,131.86,1109.19,45.9,93.86,1.49,11.17,119.67
204.41,99.52,81.54,5.06,131.83,1108.58,45.9,93.83,1.49,11.15,119.52
205.61,99.51,81.53,5.06,131.77,1107.33,45.89,93.76,1.48,11.09,119.24
206.81,99.51,81.46,5.06,131.73,1106.7,45.81,93.72,1.48,11.06,119.05
208.02,99.51,81.52,5.06,131.69,1106.4,45.88,93.68,1.47,11.04,118.9
209.22,99.51,81.46,5.06,131.65,1105.86,45.81,93.63,1.47,11.0,118.75
210.42,99.51,81.45,5.06,131.61,1105.27,45.8,93.6,1.46,10.97,118.54
211.62,99.5,81.45,5.06,131.57,1104.35,45.8,93.55,1.46,10.94,118.35
212.83,99.5,81.45,5.06,131.56,1104.15,45.8,93.54,1.46,10.93,118.3
214.03,99.49,81.39,5.06,131.48,1102.69,45.73,93.45,1.45,10.86,117.94
215.23,99.49,81.37,5.06,131.44,1101.98,45.71,93.4,1.44,10.82,117.71
216.43,99.49,81.36,5.06,131.39,1101.2,45.7,93.34,1.44,10.78,117.44
217.64,99.49,81.35,5.06,131.35,1100.68,45.69,93.3,1.44,10.76,117.25
218.84,99.48,81.33,5.06,131.3,1099.89,45.67,93.25,1.43,10.71,117.0
220.04,99.48,81.28,5.06,131.26,1099.21,45.62,93.21,1.43,10.69,116.87
221.24,99.48,81.27,5.06,131.23,1098.78,45.61,93.17,1.42,10.66,116.72
222.44,99.48,81.27,5.06,131.19,1098.4,45.61,93.14,1.42,10.64,116.55
223.65,99.48,81.27,5.06,131.14,1097.49,45.61,93.08,1.41,10.59,116.28
224.85,99.47,81.26,5.06,131.1,1096.71,45.6,93.04,1.41,10.55,116.11
226.05,99.46,81.19,5.07,131.05,1095.87,45.53,92.99,1.4,10.52,115.9
227.25,99.46,81.19,5.07,131.03,1095.46,45.52,92.97,1.4,10.5,115.79
228.46,99.46,81.16,5.07,131.0,1094.87,45.49,92.93,1.4,10.47,115.62
229.66,99.46,81.11,5.07,130.91,1093.71,45.43,92.83,1.39,10.41,115.28
230.86,99.46,81.1,5.07,130.9,1093.54,45.42,92.82,1.39,10.4,115.24
232.06,99.46,81.09,5.07,130.85,1092.74,45.41,92.77,1.38,10.36,114.98
233.27,99.46,81.09,5.07,130.83,1092.32,45.41,92.75,1.38,10.34,114.87
234.47,99.45,81.09,5.07,130.77,1091.12,45.41,92.67,1.37,10.29,114.62
235.67,99.44,81.07,5.07,130.74,1090.48,45.39,92.63,1.37,10.26,114.46
236.87,99.44,81.02,5.07,130.68,1089.67,45.33,92.57,1.36,10.21,114.22
238.08,99.44,81.01,5.07,130.65,1089.21,45.32,92.53,1.36,10.19,114.08
239.28,99.44,81.0,5.07,130.58,1088.28,45.31,92.47,1.35,10.14,113.8
240.48,99.44,81.0,5.07,130.54,1087.61,45.31,92.43,1.35,10.1,113.62
241.68,99.43,80.99,5.07,130.5,1086.89,45.3,92.38,1.34,10.07,113.44
242.89,99.43,80.98,5.07,130.48,1086.54,45.29,92.36,1.34,10.05,113.36
244.09,99.43,80.93,5.07,130.42,1085.46,45.24,92.29,1.33,10.0,113.08
245.29,99.42,80.91,5.07,130.38,1084.85,45.22,92.25,1.33,9.97,112.91
246.49,99.41,80.9,5.07,130.32,1083.92,45.21,92.19,1.32,9.93,112.64
247.7,99.41,80.88,5.07,130.29,1083.38,45.19,92.15,1.32,9.9,112.5
248.9,99.41,80.84,5.07,130.25,1082.68,45.15,92.1,1.31,9.87,112.34
250.1,99.41,80.82,5.07,130.2,1081.82,45.13,92.04,1.31,9.83,112.1
251.3,99.41,80.8,5.07,130.15,1081.21,45.11,91.99,1.3,9.79,111.88
252.51,99.41,80.78,5.07,130.1,1080.56,45.09,91.95,1.3,9.75,111.7
253.71,99.4,80.74,5.07,130.06,1079.84,45.05,91.91,1.29,9.72,111.54
254.91,99.4,80.73,5.07,130.04,1079.54,45.04,91.88,1.29,9.7,111.46
256.11,99.4,80.71,5.07,129.99,1078.64,45.02,91.82,1.29,9.66,111.23
257.31,99.4,80.71,5.07,129.95,1078.0,45.02,91.77,1.28,9.62,111.06
258.52,99.4,80.7,5.07,129.92,1077.42,45.0,91.73,1.28,9.6,110.9
259.72,99.39,80.67,5.07,129.86,1076.58,44.98,91.69,1.27,9.56,110.66
260.92,99.39,80.67,5.07,129.85,1076.43,44.98,91.68,1.27,9.55,110.62
262.12,99.38,80.66,5.07,129.83,1076.11,44.97,91.66,1.27,9.54,110.54
263.33,99.38,80.63,5.07,129.74,1074.65,44.93,91.55,1.26,9.46,110.14
264.53,99.37,80.59,5.07,129.66,1073.38,44.89,91.46,1.25,9.39,109.81
265.73,99.37,80.59,5.07,129.64,1073.1,44.89,91.44,1.25,9.38,109.73
266.93,99.36,80.54,5.08,129.58,1072.15,44.84,91.38,1.24,9.34,109.49
268.14,99.36,80.52,5.08,129.54,1071.53,44.82,91.34,1.24,9.31,109.34
269.34,99.36,80.51,5.08,129.49,1070.79,44.81,91.3,1.24,9.27,109.14
270.54,99.36,80.5,5.08,129.46,1070.4,44.8,91.27,1.23,9.25,109.05
271.74,99.36,80.45,5.08,129.39,1069.26,44.75,91.19,1.23,9.19,108.76
272.95,99.35,80.44,5.08,129.36,1068.72,44.74,91.15,1.22,9.17,108.63
274.15,99.34,80.43,5.08,129.32,1067.93,44.73,91.11,1.22,9.13,108.46
275.35,99.34,80.43,5.08,129.3,1067.63,44.73,91.09,1.22,9.12,108.39
276.55,99.35,80.42,5.08,129.27,1066.91,44.72,91.03,1.21,9.07,108.21
277.76,99.35,80.41,5.08,129.26,1066.67,44.71,91.01,1.21,9.06,108.14
278.96,99.34,80.36,5.08,129.18,1065.66,44.66,90.95,1.2,9.01,107.88
280.16,99.33,80.31,5.08,129.12,1064.65,44.62,90.88,1.2,8.96,107.64
281.36,99.33,80.31,5.08,129.11,1064.51,44.61,90.87,1.2,8.96,107.61
282.57,99.32,80.24,5.08,129.03,1062.85,44.54,90.77,1.19,8.88,107.23
283.77,99.32,80.23,5.08,129.02,1062.64,44.53,90.76,1.19,8.87,107.18
284.97,99.32,80.23,5.08,128.97,1062.3,44.53,90.72,1.18,8.85,107.05
286.17,99.31,80.23,5.08,128.93,1061.19,44.53,90.66,1.17,8.8,106.86
287.37,99.3,80.23,5.08,128.92,1060.93,44.53,90.64,1.17,8.79,106.8
288.58,99.3,80.23,5.08,128.85,1059.67,44.53,90.59,1.16,8.73,106.5
289.78,99.3,80.23,5.08,128.85,1059.53,44.53,90.58,1.16,8.72,106.47
290.98,99.3,80.22,5.08,128.84,1059.35,44.52,90.57,1.16,8.71,106.43
292.18,99.3,80.19,5.08,128.79,1058.52,44.49,90.52,1.16,8.67,106.23
293.39,99.29,80.1,5.08,128.7,1057.09,44.4,90.39,1.15,8.6,105.91
294.59,99.28,80.08,5.08,128.66,1056.59,44.38,90.36,1.14,8.57,105.78
295.79,99.28,80.06,5.08,128.62,1055.84,44.36,90.3,1.14,8.53,105.6
296.99,99.28,80.05,5.08,128.6,1055.64,44.35,90.28,1.14,8.52,105.55
298.2,99.28,80.04,5.08,128.5,1054.08,44.34,90.17,1.12,8.44,105.14
299.4,99.28,80.03,5.08,128.49,1053.95,44.33,90.16,1.12,8.43,105.11
300.6,99.28,80.02,5.08,128.43,1053.15,44.32,90.1,1.12,8.39,104.9
301.8,99.28,80.02,5.08,128.43,1053.15,44.32,90.1,1.12,8.39,104.9
303.01,99.27,79.96,5.09,128.33,1051.49,44.26,89.99,1.1,8.3,104.47
304.21,99.27,79.96,5.09,128.33,1051.49,44.26,89.99,1.1,8.3,104.47
305.41,99.27,79.92,5.09,128.26,1050.42,44.22,89.91,1.1,8.25,104.21
306.61,99.27,79.92,5.09,128.26,1050.42,44.22,89.91,1.1,8.25,104.21
307.82,99.25,79.86,5.09,128.14,1048.56,44.16,89.78,1.08,8.15,103.76
309.02,99.25,79.86,5.09,128.14,1048.56,44.16,89.78,1.08,8.15,103.76
310.22,99.24,79.82,5.09,128.06,1047.17,44.12,89.69,1.08,8.09,103.46
311.42,99.24,79.82,5.09,128.06,1047.17,44.12,89.69,1.08,8.09,103.46
312.63,99.23,79.75,5.09,127.95,1045.24,44.06,89.58,1.06,8.0,103.08
313.83,99.23,79.75,5.09,127.95,1045.24,44.06,89.58,1.06,8.0,103.08
315.03,99.22,79.72,5.09,127.88,1044.08,44.02,89.5,1.06,7.94,102.82
316.23,99.22,79.72,5.09,127.88,1044.08,44.02,89.5,1.06,7.94,102.82
317.43,99.22,79.72,5.09,127.88,1044.08,44.02,89.5,1.06,7.94,102.82
318.64,99.22,79.66,5.09,127.78,1042.5,43.96,89.38,1.04,7.86,102.41
319.84,99.22,79.66,5.09,127.78,1042.5,43.96,89.38,1.04,7.86,102.41
321.04,99.21,79.62,5.09,127.72,1041.53,43.93,89.31,1.04,7.81,102.19
322.24,99.21,79.62,5.09,127.72,1041.53,43.93,89.31,1.04,7.81,102.19
323.45,99.2,79.58,5.09,127.63,1040.12,43.89,89.23,1.03,7.74,101.92
324.65,99.2,79.58,5.09,127.63,1040.12,43.89,89.23,1.03,7.74,101.92
325.85,99.19,79.55,5.09,127.55,1038.67,43.86,89.13,1.03,7.67,101.62
327.05,99.19,79.55,5.09,127.55,1038.67,43.86,89.13,1.03,7.67,101.62
328.26,99.18,79.53,5.09,127.41,1036.53,43.84,88.99,1.01,7.56,101.14
329.46,99.18,79.53,5.09,127.41,1036.53,43.84,88.99,1.01,7.56,101.14
330.66,99.18,79.51,5.09,127.36,1035.74,43.82,88.93,1.01,7.52,100.96
331.86,99.18,79.51,5.09,127.36,1035.74,43.82,88.93,1.01,7.52,100.96
333.07,99.16,79.45,5.09,127.25,1033.89,43.76,88.81,0.99,7.43,100.52
334.27,99.16,79.45,5.09,127.25,1033.89,43.76,88.81,0.99,7.43,100.52
335.47,99.16,79.42,5.09,127.18,1032.86,43.73,88.74,0.99,7.38,100.29
336.67,99.16,79.42,5.09,127.18,1032.86,43.73,88.74,0.99,7.38,100.29
337.88,99.15,79.35,5.1,127.08,1031.15,43.67,88.62,0.97,7.3,99.92
339.08,99.15,79.35,5.1,127.08,1031.15,43.67,88.62,0.97,7.3,99.92
340.28,99.14,79.32,5.1,127.02,1030.23,43.64,88.56,0.97,7.25,99.74
341.48,99.14,79.32,5.1,127.02,1030.23,43.64,88.56,0.97,7.25,99.74
342.69,99.11,79.24,5.1,126.88,1027.68,43.56,88.41,0.95,7.14,99.26
343.89,99.11,79.24,5.1,126.88,1027.68,43.56,88.41,0.95,7.14,99.26
345.09,99.1,79.21,5.1,126.83,1026.77,43.54,88.35,0.95,7.09,99.08
346.29,99.1,79.21,5.1,126.83,1026.77,43.54,88.35,0.95,7.09,99.08
347.49,99.1,79.21,5.1,126.83,1026.77,43.54,88.35,0.95,7.09,99.08
348.7,99.09,79.16,5.1,126.72,1025.06,43.49,88.24,0.93,7.01,98.73
349.9,99.09,79.16,5.1,126.72,1025.06,43.49,88.24,0.93,7.01,98.73
351.1,99.09,79.14,5.1,126.66,1024.12,43.47,88.18,0.93,6.96,98.54
352.3,99.09,79.14,5.1,126.66,1024.12,43.47,88.18,0.93,6.96,98.54
353.51,99.09,79.11,5.1,126.55,1022.25,43.44,88.05,0.91,6.86,98.17
354.71,99.09,79.11,5.1,126.55,1022.25,43.44,88.05,0.91,6.86,98.17
355.91,99.09,79.07,5.1,126.48,1021.16,43.4,87.97,0.91,6.81,97.95
357.11,99.09,79.07,5.1,126.48,1021.16,43.4,87.97,0.91,6.81,97.95
358.32,99.07,78.98,5.1,126.37,1019.51,43.31,87.85,0.89,6.73,97.61
359.52,99.07,78.98,5.1,126.37,1019.51,43.31,87.85,0.89,6.73,97.61
360.72,99.06,78.94,5.1,126.31,1018.56,43.28,87.79,0.89,6.68,97.43
361.92,99.06,78.94,5.1,126.31,1018.56,43.28,87.79,0.89,6.68,97.43
363.13,99.04,78.92,5.1,126.2,1016.67,43.26,87.66,0.88,6.59,97.07
364.33,99.04,78.92,5.1,126.2,1016.67,43.26,87.66,0.88,6.59,97.07
365.53,99.04,78.9,5.1,126.16,1015.91,43.24,87.61,0.88,6.55,96.92
366.73,99.04,78.9,5.1,126.16,1015.91,43.24,87.61,0.88,6.55,96.92
367.94,99.03,78.84,5.1,126.08,1014.66,43.19,87.52,0.87,6.49,96.66
