arterial_r,paodia,bgDO2,ecmoUnitFlow,paoavg,left flow,cvSys_O2sat,col,cor,paosys,cvSys_pO2
13.83,89.03,1275.7,19.68,105.29,2.62,85.37,4.41,4.41,141.67,50.69
13.95,89.03,1275.7,19.68,105.29,2.62,85.37,4.41,4.41,141.67,50.69
14.07,89.01,1275.46,19.66,105.27,2.62,85.37,4.41,4.41,141.65,50.69
14.19,89.01,1275.46,19.66,105.27,2.62,85.37,4.41,4.41,141.65,50.69
14.31,88.95,1274.78,19.62,105.21,2.62,85.36,4.41,4.41,141.61,50.68
14.43,88.95,1274.78,19.62,105.21,2.62,85.36,4.41,4.41,141.61,50.68
14.55,88.91,1274.38,19.6,105.18,2.62,85.36,4.41,4.41,141.58,50.68
14.67,88.91,1274.38,19.6,105.18,2.62,85.36,4.41,4.41,141.58,50.68
14.79,88.87,1273.7,19.56,105.14,2.61,85.35,4.41,4.41,141.54,50.67
14.91,88.87,1273.7,19.56,105.14,2.61,85.35,4.41,4.41,141.54,50.67
15.03,88.84,1273.19,19.54,105.12,2.61,85.34,4.41,4.41,141.52,50.65
15.15,88.84,1273.19,19.54,105.12,2.61,85.34,4.41,4.41,141.52,50.65
15.27,88.81,1272.39,19.51,105.08,2.6,85.3,4.41,4.41,141.5,50.59
15.39,88.81,1272.39,19.51,105.08,2.6,85.3,4.41,4.41,141.5,50.59
15.51,88.8,1272.26,19.5,105.08,2.6,85.29,4.41,4.41,141.49,50.58
15.63,88.8,1272.26,19.5,105.08,2.6,85.29,4.41,4.41,141.49,50.58
15.75,88.73,1271.46,19.47,105.02,2.59,85.25,4.42,4.42,141.44,50.52
15.87,88.73,1271.46,19.47,105.02,2.59,85.25,4.42,4.42,141.44,50.52
15.99,88.73,1271.46,19.47,105.02,2.59,85.25,4.42,4.42,141.44,50.52
16.11,88.68,1270.98,19.44,104.97,2.59,85.25,4.42,4.42,141.39,50.52
16.23,88.68,1270.98,19.44,104.97,2.59,85.25,4.42,4.42,141.39,50.52
16.35,88.62,1270.62,19.4,104.92,2.59,85.28,4.42,4.42,141.35,50.56
16.47,88.62,1270.62,19.4,104.92,2.59,85.28,4.42,4.42,141.35,50.56
16.59,88.59,1270.35,19.38,104.89,2.59,85.27,4.42,4.42,141.32,50.56
16.71,88.59,1270.35,19.38,104.89,2.59,85.27,4.42,4.42,141.32,50.56
16.83,88.54,1269.65,19.35,104.85,2.58,85.23,4.42,4.42,141.28,50.5
16.95,88.54,1269.65,19.35,104.85,2.58,85.23,4.42,4.42,141.28,50.5
17.07,88.53,1269.49,19.34,104.84,2.58,85.23,4.42,4.42,141.28,50.49
17.19,88.53,1269.49,19.34,104.84,2.58,85.23,4.42,4.42,141.28,50.49
17.31,88.47,1268.62,19.3,104.79,2.57,85.23,4.42,4.42,141.23,50.49
17.43,88.47,1268.62,19.3,104.79,2.57,85.23,4.42,4.42,141.23,50.49
17.56,88.44,1268.2,19.28,104.76,2.57,85.23,4.42,4.42,141.21,50.49
17.68,88.44,1268.2,19.28,104.76,2.57,85.23,4.42,4.42,141.21,50.49
17.8,88.39,1267.57,19.25,104.72,2.56,85.22,4.42,4.43,141.17,50.48
17.92,88.39,1267.57,19.25,104.72,2.56,85.22,4.42,4.43,141.17,50.48
18.04,88.36,1267.1,19.23,104.69,2.56,85.21,4.43,4.43,141.14,50.46
18.16,88.36,1267.1,19.23,104.69,2.56,85.21,4.43,4.43,141.14,50.46
18.28,88.32,1266.4,19.2,104.65,2.56,85.18,4.43,4.43,141.11,50.42
18.4,88.32,1266.4,19.2,104.65,2.56,85.18,4.43,4.43,141.11,50.42
18.52,88.29,1266.07,19.18,104.63,2.56,85.17,4.43,4.43,141.09,50.4
18.64,88.29,1266.07,19.18,104.63,2.56,85.17,4.43,4.43,141.09,50.4
18.76,88.25,1265.45,19.15,104.59,2.55,85.16,4.43,4.43,141.06,50.4
18.88,88.25,1265.45,19.15,104.59,2.55,85.16,4.43,4.43,141.06,50.4
19.0,88.25,1265.45,19.15,104.59,2.55,85.16,4.43,4.43,141.06,50.4
19.12,88.21,1265.01,19.12,104.55,2.55,85.16,4.43,4.43,141.03,50.39
19.24,88.21,1265.01,19.12,104.55,2.55,85.16,4.43,4.43,141.03,50.39
19.36,88.16,1264.65,19.1,104.51,2.54,85.16,4.43,4.43,140.99,50.39
19.48,88.16,1264.65,19.1,104.51,2.54,85.16,4.43,4.43,140.99,50.39
19.6,88.13,1264.23,19.07,104.48,2.54,85.16,4.43,4.43,140.96,50.39
19.72,88.13,1264.23,19.07,104.48,2.54,85.16,4.43,4.43,140.96,50.39
19.84,88.08,1263.57,19.04,104.43,2.54,85.15,4.43,4.43,140.92,50.38
19.96,88.08,1263.57,19.04,104.43,2.54,85.15,4.43,4.43,140.92,50.38
20.08,88.05,1263.16,19.02,104.41,2.54,85.14,4.43,4.43,140.9,50.36
20.2,88.05,1263.16,19.02,104.41,2.54,85.14,4.43,4.43,140.9,50.36
20.32,87.99,1262.43,18.98,104.36,2.53,85.1,4.43,4.43,140.86,50.31
20.44,87.99,1262.43,18.98,104.36,2.53,85.1,4.43,4.43,140.86,50.31
20.56,87.98,1262.26,18.97,104.35,2.53,85.09,4.43,4.44,140.85,50.3
20.68,87.98,1262.26,18.97,104.35,2.53,85.09,4.43,4.44,140.85,50.3
20.8,87.97,1262.07,18.96,104.34,2.53,85.09,4.44,4.44,140.84,50.29
20.92,87.97,1262.07,18.96,104.34,2.53,85.09,4.44,4.44,140.84,50.29
21.04,87.96,1261.54,18.94,104.32,2.53,85.09,4.44,4.44,140.83,50.29
21.16,87.96,1261.54,18.94,104.32,2.53,85.09,4.44,4.44,140.83,50.29
21.28,87.91,1260.35,18.89,104.27,2.52,85.08,4.44,4.44,140.79,50.28
21.4,87.91,1260.35,18.89,104.27,2.52,85.08,4.44,4.44,140.79,50.28
21.52,87.87,1259.86,18.87,104.24,2.52,85.07,4.44,4.44,140.76,50.27
21.64,87.87,1259.86,18.87,104.24,2.52,85.07,4.44,4.44,140.76,50.27
21.76,87.79,1259.32,18.83,104.17,2.51,85.04,4.44,4.44,140.7,50.22
21.88,87.79,1259.32,18.83,104.17,2.51,85.04,4.44,4.44,140.7,50.22
22.0,87.75,1259.03,18.82,104.14,2.51,85.03,4.44,4.44,140.67,50.21
22.12,87.75,1259.03,18.82,104.14,2.51,85.03,4.44,4.44,140.67,50.21
22.24,87.75,1259.03,18.82,104.14,2.51,85.03,4.44,4.44,140.67,50.21
22.36,87.71,1258.58,18.78,104.1,2.5,85.02,4.44,4.44,140.63,50.2
22.48,87.71,1258.58,18.78,104.1,2.5,85.02,4.44,4.44,140.63,50.2
22.61,87.68,1258.23,18.77,104.07,2.5,85.02,4.44,4.44,140.61,50.2
22.73,87.68,1258.23,18.77,104.07,2.5,85.02,4.44,4.44,140.61,50.2
22.85,87.63,1257.52,18.73,104.03,2.5,85.02,4.44,4.44,140.57,50.19
22.97,87.63,1257.52,18.73,104.03,2.5,85.02,4.44,4.44,140.57,50.19
23.09,87.61,1257.07,18.71,104.01,2.5,85.02,4.44,4.44,140.55,50.19
23.21,87.61,1257.07,18.71,104.01,2.5,85.02,4.44,4.44,140.55,50.19
23.33,87.59,1256.28,18.68,103.98,2.49,85.01,4.44,4.44,140.54,50.18
23.45,87.59,1256.28,18.68,103.98,2.49,85.01,4.44,4.44,140.54,50.18
23.57,87.56,1255.9,18.66,103.96,2.49,85.0,4.45,4.45,140.52,50.17
23.69,87.56,1255.9,18.66,103.96,2.49,85.0,4.45,4.45,140.52,50.17
23.81,87.49,1255.34,18.63,103.9,2.48,84.97,4.45,4.45,140.47,50.13
23.93,87.49,1255.34,18.63,103.9,2.48,84.97,4.45,4.45,140.47,50.13
24.05,87.45,1254.98,18.61,103.87,2.48,84.96,4.45,4.45,140.43,50.11
24.17,87.45,1254.98,18.61,103.87,2.48,84.96,4.45,4.45,140.43,50.11
24.29,87.41,1254.57,18.58,103.83,2.48,84.96,4.45,4.45,140.4,50.1
24.41,87.41,1254.57,18.58,103.83,2.48,84.96,4.45,4.45,140.4,50.1
24.53,87.38,1254.27,18.56,103.8,2.48,84.95,4.45,4.45,140.38,50.1
24.65,87.38,1254.27,18.56,103.8,2.48,84.95,4.45,4.45,140.38,50.1
24.77,87.33,1253.55,18.52,103.75,2.47,84.94,4.45,4.45,140.33,50.08
24.89,87.33,1253.55,18.52,103.75,2.47,84.94,4.45,4.45,140.33,50.08
25.01,87.3,1253.13,18.5,103.72,2.47,84.92,4.45,4.45,140.3,50.06
25.13,87.3,1253.13,18.5,103.72,2.47,84.92,4.45,4.45,140.3,50.06
25.25,87.27,1252.6,18.48,103.68,2.46,84.89,4.45,4.45,140.27,50.01
25.37,87.27,1252.6,18.48,103.68,2.46,84.89,4.45,4.45,140.27,50.01
25.49,87.27,1252.6,18.48,103.68,2.46,84.89,4.45,4.45,140.27,50.01
25.61,87.26,1252.45,18.47,103.67,2.46,84.88,4.45,4.45,140.26,50.0
25.73,87.26,1252.45,18.47,103.67,2.46,84.88,4.45,4.45,140.26,50.0
25.85,87.2,1251.58,18.43,103.62,2.46,84.88,4.45,4.45,140.22,50.0
25.97,87.2,1251.58,18.43,103.62,2.46,84.88,4.45,4.45,140.22,50.0
26.09,87.17,1251.19,18.41,103.6,2.46,84.88,4.46,4.46,140.2,50.0
26.21,87.17,1251.19,18.41,103.6,2.46,84.88,4.46,4.46,140.2,50.0
26.33,87.13,1250.7,18.39,103.56,2.45,84.88,4.46,4.46,140.16,50.0
26.45,87.13,1250.7,18.39,103.56,2.45,84.88,4.46,4.46,140.16,50.0
26.57,87.1,1250.31,18.36,103.53,2.45,84.86,4.46,4.46,140.14,49.98
26.69,87.1,1250.31,18.36,103.53,2.45,84.86,4.46,4.46,140.14,49.98
26.81,87.06,1249.76,18.34,103.49,2.44,84.83,4.46,4.46,140.11,49.93
26.93,87.06,1249.76,18.34,103.49,2.44,84.83,4.46,4.46,140.11,49.93
27.05,87.03,1249.45,18.32,103.47,2.44,84.82,4.46,4.46,140.09,49.91
27.17,87.03,1249.45,18.32,103.47,2.44,84.82,4.46,4.46,140.09,49.91
27.29,86.98,1248.95,18.28,103.42,2.44,84.81,4.46,4.46,140.04,49.9
27.41,86.98,1248.95,18.28,103.42,2.44,84.81,4.46,4.46,140.04,49.9
27.54,86.95,1248.67,18.27,103.4,2.44,84.81,4.46,4.46,140.03,49.9
27.66,86.95,1248.67,18.27,103.4,2.44,84.81,4.46,4.46,140.03,49.9
27.78,86.91,1248.16,18.24,103.37,2.43,84.81,4.46,4.46,140.0,49.9
27.9,86.91,1248.16,18.24,103.37,2.43,84.81,4.46,4.46,140.0,49.9
28.02,86.89,1247.77,18.22,103.34,2.43,84.81,4.46,4.46,139.98,49.9
28.14,86.89,1247.77,18.22,103.34,2.43,84.81,4.46,4.46,139.98,49.9
28.26,86.85,1247.19,18.19,103.3,2.42,84.81,4.46,4.46,139.94,49.9
28.38,86.85,1247.19,18.19,103.3,2.42,84.81,4.46,4.46,139.94,49.9
28.5,86.85,1247.19,18.19,103.3,2.42,84.81,4.46,4.46,139.94,49.9
28.62,86.81,1246.69,18.17,103.27,2.42,84.79,4.46,4.46,139.92,49.88
28.74,86.81,1246.69,18.17,103.27,2.42,84.79,4.46,4.46,139.92,49.88
28.86,86.77,1246.07,18.14,103.24,2.42,84.76,4.46,4.47,139.88,49.83
28.98,86.77,1246.07,18.14,103.24,2.42,84.76,4.46,4.47,139.88,49.83
29.1,86.73,1245.54,18.12,103.21,2.42,84.74,4.47,4.47,139.85,49.81
29.22,86.73,1245.54,18.12,103.21,2.42,84.74,4.47,4.47,139.85,49.81
29.34,86.7,1244.98,18.1,103.17,2.41,84.74,4.47,4.47,139.83,49.81
29.46,86.7,1244.98,18.1,103.17,2.41,84.74,4.47,4.47,139.83,49.81
29.58,86.66,1244.54,18.07,103.14,2.41,84.74,4.47,4.47,139.8,49.81
29.7,86.66,1244.54,18.07,103.14,2.41,84.74,4.47,4.47,139.8,49.81
29.82,86.64,1244.23,18.05,103.12,2.41,84.74,4.47,4.47,139.78,49.8
29.94,86.64,1244.23,18.05,103.12,2.41,84.74,4.47,4.47,139.78,49.8
30.06,86.62,1244.04,18.04,103.1,2.41,84.74,4.47,4.47,139.76,49.8
30.18,86.62,1244.04,18.04,103.1,2.41,84.74,4.47,4.47,139.76,49.8
30.3,86.56,1243.47,18.01,103.05,2.4,84.73,4.47,4.47,139.72,49.8
30.42,86.56,1243.47,18.01,103.05,2.4,84.73,4.47,4.47,139.72,49.8
30.54,86.52,1242.97,17.98,103.02,2.4,84.72,4.47,4.47,139.69,49.77
30.66,86.52,1242.97,17.98,103.02,2.4,84.72,4.47,4.47,139.69,49.77
30.78,86.48,1242.44,17.95,102.98,2.39,84.69,4.47,4.47,139.66,49.73
30.9,86.48,1242.44,17.95,102.98,2.39,84.69,4.47,4.47,139.66,49.73
31.02,86.45,1242.04,17.93,102.95,2.39,84.68,4.47,4.47,139.63,49.72
31.14,86.45,1242.04,17.93,102.95,2.39,84.68,4.47,4.47,139.63,49.72
31.26,86.42,1241.54,17.91,102.92,2.39,84.67,4.47,4.47,139.61,49.71
31.38,86.42,1241.54,17.91,102.92,2.39,84.67,4.47,4.47,139.61,49.71
31.5,86.39,1241.11,17.89,102.9,2.39,84.67,4.47,4.47,139.59,49.71
31.62,86.39,1241.11,17.89,102.9,2.39,84.67,4.47,4.47,139.59,49.71
31.74,86.39,1241.11,17.89,102.9,2.39,84.67,4.47,4.47,139.59,49.71
31.86,86.35,1240.56,17.87,102.86,2.38,84.67,4.47,4.48,139.56,49.71
31.98,86.35,1240.56,17.87,102.86,2.38,84.67,4.47,4.48,139.56,49.71
32.1,86.32,1240.12,17.84,102.83,2.38,84.67,4.48,4.48,139.53,49.71
32.22,86.32,1240.12,17.84,102.83,2.38,84.67,4.48,4.48,139.53,49.71
32.34,86.27,1239.67,17.81,102.78,2.37,84.67,4.48,4.48,139.49,49.7
32.46,86.27,1239.67,17.81,102.78,2.37,84.67,4.48,4.48,139.49,49.7
32.59,86.24,1239.47,17.79,102.77,2.37,84.67,4.48,4.48,139.47,49.7
32.71,86.24,1239.47,17.79,102.77,2.37,84.67,4.48,4.48,139.47,49.7
32.83,86.21,1239.15,17.77,102.74,2.37,84.66,4.48,4.48,139.45,49.7
32.95,86.21,1239.15,17.77,102.74,2.37,84.66,4.48,4.48,139.45,49.7
33.07,86.19,1238.81,17.75,102.71,2.37,84.65,4.48,4.48,139.42,49.68
33.19,86.19,1238.81,17.75,102.71,2.37,84.65,4.48,4.48,139.42,49.68
33.31,86.14,1238.19,17.72,102.67,2.36,84.62,4.48,4.48,139.39,49.63
33.43,86.14,1238.19,17.72,102.67,2.36,84.62,4.48,4.48,139.39,49.63
33.55,86.11,1237.83,17.7,102.65,2.36,84.6,4.48,4.48,139.37,49.62
33.67,86.11,1237.83,17.7,102.65,2.36,84.6,4.48,4.48,139.37,49.62
33.79,86.07,1237.15,17.67,102.61,2.36,84.6,4.48,4.48,139.33,49.61
33.91,86.07,1237.15,17.67,102.61,2.36,84.6,4.48,4.48,139.33,49.61
34.03,86.05,1236.84,17.66,102.59,2.36,84.6,4.48,4.48,139.32,49.61
34.15,86.05,1236.84,17.66,102.59,2.36,84.6,4.48,4.48,139.32,49.61
34.27,86.0,1236.12,17.63,102.55,2.35,84.59,4.48,4.48,139.28,49.6
34.39,86.0,1236.12,17.63,102.55,2.35,84.59,4.48,4.48,139.28,49.6
34.51,85.98,1235.8,17.61,102.53,2.35,84.58,4.48,4.48,139.26,49.58
34.63,85.98,1235.8,17.61,102.53,2.35,84.58,4.48,4.48,139.26,49.58
34.75,85.98,1235.8,17.61,102.53,2.35,84.58,4.48,4.48,139.26,49.58
34.87,85.94,1235.15,17.59,102.49,2.34,84.55,4.48,4.49,139.23,49.54
34.99,85.94,1235.15,17.59,102.49,2.34,84.55,4.48,4.49,139.23,49.54
35.11,85.91,1234.84,17.57,102.47,2.34,84.53,4.49,4.49,139.22,49.52
35.23,85.91,1234.84,17.57,102.47,2.34,84.53,4.49,4.49,139.22,49.52
35.35,85.86,1234.13,17.53,102.42,2.34,84.52,4.49,4.49,139.17,49.51
35.47,85.86,1234.13,17.53,102.42,2.34,84.52,4.49,4.49,139.17,49.51
35.59,85.84,1233.91,17.52,102.4,2.34,84.52,4.49,4.49,139.15,49.51
35.71,85.84,1233.91,17.52,102.4,2.34,84.52,4.49,4.49,139.15,49.51
35.83,85.8,1233.57,17.5,102.37,2.33,84.52,4.49,4.49,139.13,49.51
35.95,85.8,1233.57,17.5,102.37,2.33,84.52,4.49,4.49,139.13,49.51
36.07,85.77,1233.12,17.47,102.34,2.33,84.51,4.49,4.49,139.1,49.49
36.19,85.77,1233.12,17.47,102.34,2.33,84.51,4.49,4.49,139.1,49.49
36.31,85.73,1232.56,17.45,102.3,2.33,84.49,4.49,4.49,139.07,49.47
36.43,85.73,1232.56,17.45,102.3,2.33,84.49,4.49,4.49,139.07,49.47
36.55,85.72,1232.44,17.44,102.3,2.33,84.49,4.49,4.49,139.06,49.46
36.67,85.72,1232.44,17.44,102.3,2.33,84.49,4.49,4.49,139.06,49.46
36.79,85.68,1231.76,17.41,102.26,2.32,84.47,4.49,4.49,139.03,49.44
36.91,85.68,1231.76,17.41,102.26,2.32,84.47,4.49,4.49,139.03,49.44
