ecmo speed,ppadia,ppcw,ppaavg,ecmop2,ppasys,ecmop3,svl,col,svr,cor,caSys_pO2,cvSys_pO2,cvSys_O2sat,caSys_pCO2
0.7954,13.2172,13.3168,16.0999,79.6776,30.52,78.5379,84.436,5.0412,84.4421,5.0585,106.2008,39.9083,74.8721,32.0713
0.8015,13.1877,13.3005,16.0501,81.6947,30.4101,79.814,84.0396,5.0257,84.0352,5.0184,109.9166,40.3429,75.4749,31.0885
0.8076,13.1924,13.2738,16.0481,81.6924,30.4289,79.8259,84.0351,5.0266,84.0146,5.0163,109.8936,40.3486,75.4808,31.0921
0.8137,13.1985,13.2992,16.061,81.6884,30.4253,79.8155,84.0381,5.025,84.0352,5.0377,109.8946,40.3479,75.4831,31.0882
0.8198,13.1877,13.3113,16.0647,81.6836,30.4246,79.8353,84.0142,5.0316,84.0337,5.0292,109.9072,40.3545,75.4591,31.0822
0.8259,13.1876,13.2981,16.0468,81.6948,30.404,79.8157,84.0427,5.0375,84.0301,5.0435,109.9067,40.3374,75.4673,31.0951
0.832,13.1759,13.2947,16.0512,81.6856,30.4109,79.8243,84.0236,5.0248,84.0388,5.044,109.9034,40.3514,75.4908,31.0873
0.8381,13.1909,13.2809,16.0658,81.6973,30.4324,79.8055,84.0298,5.0464,84.0305,5.041,109.9217,40.3524,75.4861,31.09
0.8442,13.2033,13.2957,16.0532,81.7199,30.418,79.8248,84.0407,5.0257,84.0152,5.0392,109.89,40.3732,75.4782,31.0941
0.8504,13.173,13.2472,16.0081,83.9537,30.3579,81.2965,83.5949,5.0095,83.5849,5.0081,115.3088,40.9252,76.1797,30.3164
0.8565,13.1601,13.2702,15.9987,83.9508,30.3186,81.2736,83.5824,5.0058,83.5881,4.979,115.3135,40.9199,76.1813,30.2954
0.8626,13.1555,13.2792,16.0045,83.9835,30.3147,81.2856,83.5831,5.0004,83.5947,4.999,115.314,40.9038,76.1819,30.3149
0.8687,13.157,13.2599,16.0031,83.9564,30.3234,81.2864,83.5751,5.0105,83.6047,5.0058,115.3206,40.907,76.1824,30.2996
0.8748,13.1357,13.2519,16.0125,83.9458,30.3235,81.3028,83.5788,4.9951,83.5864,4.9923,115.3282,40.8986,76.1863,30.2928
0.8809,13.1347,13.273,16.0153,83.9636,30.3119,81.2889,83.5976,4.9912,83.593,5.0021,115.3211,40.9073,76.1916,30.3115
0.887,13.1737,13.262,16.0017,83.9628,30.3336,81.2965,83.5989,5.0081,83.5769,4.9985,115.3324,40.8997,76.1853,30.3126
0.8931,13.1473,13.2877,16.0037,83.9638,30.3379,81.2847,83.5837,5.0083,83.5843,4.9852,115.3095,40.9,76.1785,30.3
0.8992,13.1493,13.2537,15.9945,83.9635,30.3109,81.2936,83.5751,5.0086,83.5872,5.0079,115.3197,40.9224,76.1741,30.3066
0.9053,13.1424,13.24,15.9702,85.8855,30.2308,82.5918,83.2187,4.9793,83.2197,5.0108,119.6888,41.337,76.7074,29.9036
0.9114,13.143,13.2537,15.9748,85.8858,30.2675,82.5953,83.2278,4.9985,83.228,4.9881,119.6845,41.3442,76.6897,29.9049
0.9175,13.1364,13.2377,15.9635,85.888,30.2387,82.5902,83.2224,4.9866,83.2332,5.0017,119.693,41.3216,76.6909,29.9147
0.9236,13.1353,13.2346,15.9715,85.8867,30.2369,82.6007,83.2416,4.9911,83.2319,4.9853,119.6964,41.3356,76.7107,29.9134
0.9297,13.1456,13.2543,15.9875,85.8512,30.2483,82.5933,83.2374,4.9935,83.2181,4.9793,119.6963,41.3453,76.6957,29.914
0.9358,13.1338,13.2362,15.9711,85.869,30.2281,82.5969,83.2222,5.0054,83.2438,4.967,119.6894,41.3445,76.6997,29.9128
0.9419,13.1358,13.238,15.9801,85.8851,30.2362,82.5962,83.2161,4.9949,83.234,4.9855,119.6728,41.3339,76.6935,29.8996
0.948,13.1336,13.2165,15.9704,85.8877,30.2461,82.599,83.2176,4.9965,83.2246,4.9853,119.6803,41.3243,76.7065,29.9081
0.9542,13.0964,13.2084,15.9127,88.2791,30.139,84.2482,82.7859,4.9727,82.8091,4.9416,124.7685,41.7945,77.256,29.7576
0.9603,13.1222,13.1951,15.9322,88.2851,30.1456,84.2446,82.8233,4.9637,82.8108,4.9556,124.7737,41.8031,77.2801,29.7568
0.9664,13.113,13.2096,15.9117,88.2655,30.1685,84.2434,82.7875,4.9439,82.8112,4.9669,124.7776,41.8074,77.2563,29.7732
0.9725,13.135,13.2153,15.9234,88.2607,30.1504,84.2401,82.8177,4.953,82.8035,4.9588,124.7831,41.7986,77.2533,29.737
0.9786,13.0941,13.2051,15.9241,88.2677,30.1507,84.2257,82.7959,4.9555,82.8049,4.951,124.7757,41.794,77.2627,29.7451
0.9847,13.1098,13.2173,15.9383,88.2917,30.1302,84.2477,82.8065,4.9626,82.7898,4.9588,124.758,41.7919,77.2589,29.7542
0.9908,13.1163,13.2147,15.9177,88.2616,30.1525,84.2338,82.8039,4.9693,82.7801,4.9625,124.7707,41.8087,77.2471,29.7624
0.9969,13.1036,13.2031,15.9081,88.2684,30.1375,84.2571,82.7841,4.9451,82.817,4.9587,124.7708,41.7986,77.2493,29.7699
1.003,13.0991,13.1917,15.9025,90.3375,30.0726,85.6932,82.4453,4.9239,82.4402,4.9278,129.2737,42.1832,77.7221,29.6025
1.0091,13.0923,13.1929,15.8869,90.3396,30.0672,85.6799,82.427,4.938,82.4496,4.9488,129.2955,42.2043,77.7243,29.5871
1.0152,13.078,13.1923,15.8871,90.3252,30.0621,85.6991,82.4444,4.9632,82.4618,4.9169,129.2852,42.1945,77.7286,29.6193
1.0213,13.0675,13.1923,15.8866,90.3471,30.0694,85.6969,82.4339,4.9388,82.4685,4.9438,129.28,42.2085,77.7019,29.6099
1.0274,13.0821,13.1852,15.8902,90.3468,30.0558,85.6924,82.4505,4.9499,82.4486,4.9378,129.2848,42.1919,77.7258,29.6052
1.0335,13.0749,13.1909,15.8838,90.3571,30.0447,85.6937,82.4426,4.9454,82.4596,4.9374,129.2839,42.1962,77.721,29.6042
1.0396,13.0923,13.1934,15.8836,90.3375,30.053,85.7028,82.4316,4.9283,82.4542,4.9274,129.2913,42.1894,77.7031,29.6041
1.0457,13.106,13.1892,15.8829,90.3483,30.0726,85.6813,82.4475,4.9369,82.4482,4.9249,129.274,42.1689,77.7045,29.6056
1.0519,13.0474,13.1475,15.836,93.5183,29.9553,87.9196,81.9179,4.9091,81.9434,4.893,136.0414,42.7377,78.315,29.5109
1.058,13.0508,13.1447,15.8229,93.5248,29.9391,87.9183,81.9309,4.9089,81.926,4.9126,136.0665,42.7224,78.322,29.5119
1.0641,13.0317,13.1582,15.8231,93.5154,29.9254,87.9268,81.9404,4.9015,81.9501,4.8983,136.0606,42.7213,78.3335,29.4808
1.0702,13.0483,13.1499,15.8335,93.515,29.9352,87.912,81.9373,4.899,81.9314,4.8934,136.0695,42.7213,78.3075,29.4897
1.0763,13.0435,13.159,15.8487,93.5174,29.9651,87.9199,81.9136,4.8987,81.9365,4.915,136.0452,42.7301,78.326,29.4976
1.0824,13.0341,13.1503,15.8379,93.5117,29.9444,87.9263,81.9095,4.8929,81.9393,4.9131,136.0527,42.7036,78.3354,29.5213
1.0885,13.0488,13.1407,15.8467,93.5126,29.941,87.9202,81.9189,4.9268,81.94,4.8893,136.0547,42.739,78.3206,29.505
1.0946,13.0334,13.1421,15.8381,93.5048,29.9506,87.9281,81.937,4.8963,81.9459,4.9145,136.0646,42.7445,78.3345,29.5052
1.1007,13.0197,13.1071,15.7875,95.8609,29.8582,89.5906,81.5378,4.883,81.5883,4.8833,141.2334,43.1544,78.8029,29.3777
1.1068,12.9979,13.1055,15.8066,95.8454,29.8559,89.6064,81.5465,4.8958,81.584,4.8934,141.2349,43.1433,78.7884,29.3834
1.1129,13.0268,13.1152,15.7714,95.8582,29.8488,89.5997,81.5575,4.8905,81.5772,4.8835,141.2541,43.1555,78.8068,29.373
1.119,13.0299,13.1062,15.7753,95.8477,29.849,89.6138,81.5555,4.8884,81.5889,4.8735,141.2405,43.1486,78.8082,29.3979
1.1251,13.0319,13.1147,15.7959,95.8931,29.8549,89.6079,81.5506,4.8885,81.5834,4.8867,141.2367,43.1389,78.8061,29.3809
1.1312,13.0321,13.1246,15.7857,95.8547,29.8545,89.6071,81.5473,4.8902,81.5706,4.8875,141.2705,43.1371,78.7972,29.3685
1.1373,13.0232,13.12,15.7898,95.8686,29.8527,89.5956,81.5348,4.8872,81.5729,4.8699,141.2501,43.1394,78.7896,29.3628
1.1434,13.0192,13.1057,15.8007,95.8599,29.8577,89.6122,81.5518,4.8941,81.5754,4.8949,141.2518,43.1557,78.7988,29.3719
1.1495,13.0073,13.1313,15.8081,95.8711,29.8505,89.5891,81.5532,4.8805,81.5867,4.8836,141.2595,43.1376,78.7954,29.3801
1.1557,12.9801,13.0946,15.7544,97.9807,29.7665,91.1603,81.2084,4.8521,81.2811,4.8654,146.2389,43.6021,79.2736,29.2066
1.1618,12.9876,13.099,15.736,97.9687,29.7744,91.1863,81.2129,4.8601,81.2944,4.8794,146.2252,43.6027,79.2493,29.2037
1.1679,12.9907,13.0876,15.7526,97.973,29.7982,91.1598,81.199,4.8495,81.2883,4.8758,146.2373,43.5971,79.2727,29.2119
1.174,12.9785,13.0774,15.7651,97.9831,29.758,91.1765,81.2034,4.8785,81.2845,4.8791,146.2153,43.5953,79.2651,29.1979
1.1801,12.9895,13.0955,15.7542,97.9746,29.7806,91.1893,81.2113,4.8663,81.2961,4.8632,146.2116,43.5934,79.2629,29.2073
1.1862,12.9623,13.0924,15.7447,97.9839,29.765,91.1664,81.2026,4.862,81.2945,4.8568,146.2429,43.6078,79.2753,29.2117
1.1923,12.9819,13.0766,15.7416,97.9863,29.7765,91.1723,81.1999,4.8523,81.2954,4.8739,146.243,43.5866,79.2723,29.1958
1.1984,12.9874,13.0946,15.746,97.9768,29.7742,91.1769,81.2034,4.859,81.2968,4.8843,146.2125,43.5823,79.2694,29.2044
1.2045,12.9806,13.0871,15.76,98.1429,29.7536,91.2838,81.1822,4.8803,81.2622,4.8737,146.5973,43.6283,79.3057,29.2014
1.2106,12.9746,13.0949,15.7554,98.1518,29.7541,91.2951,81.1763,4.8633,81.2682,4.8635,146.5836,43.6099,79.2911,29.1978
1.2167,12.9802,13.0837,15.7585,98.1485,29.7708,91.2874,81.1676,4.8431,81.2659,4.8465,146.5855,43.61,79.2987,29.1896
1.2228,12.9732,13.0835,15.748,98.1588,29.7558,91.2912,81.181,4.8538,81.2772,4.8602,146.5762,43.6295,79.3188,29.2084
1.2289,12.9646,13.0932,15.7471,98.1425,29.7586,91.3144,81.1699,4.8559,81.2625,4.8589,146.6045,43.6269,79.2914,29.1996
1.235,13.0006,13.0823,15.7349,98.1581,29.7694,91.2928,81.1862,4.8425,81.2448,4.8685,146.5893,43.6272,79.295,29.2115
1.2411,12.9726,13.0814,15.7695,98.1414,29.7791,91.2882,81.1842,4.8674,81.253,4.8716,146.5973,43.6187,79.2981,29.2051
1.2472,12.9816,13.0825,15.7437,98.1478,29.7487,91.2846,81.1779,4.8592,81.2561,4.8631,146.5838,43.6272,79.2978,29.2034
1.2534,12.9682,13.067,15.7409,98.6309,29.7352,91.629,81.1108,4.8659,81.2084,4.8712,147.556,43.696,79.3665,29.1948
1.2595,12.9856,13.0714,15.7503,98.6146,29.7457,91.6483,81.1113,4.8615,81.2031,4.8531,147.5555,43.6972,79.3726,29.204
1.2656,12.9472,13.0734,15.7427,98.6094,29.7516,91.6388,81.1152,4.8357,81.1831,4.8628,147.5734,43.6928,79.3694,29.2098
1.2717,12.9726,13.065,15.7643,98.6041,29.7537,91.6526,81.1157,4.8609,81.1864,4.863,147.5645,43.71,79.3727,29.2026
1.2778,12.9799,13.077,15.7573,98.6209,29.7376,91.6309,81.1071,4.8541,81.1807,4.8554,147.5668,43.6822,79.3614,29.1997
1.2839,12.9687,13.0923,15.7215,98.6214,29.7539,91.6343,81.1158,4.8652,81.1923,4.859,147.5487,43.6975,79.3773,29.1854
1.29,12.9607,13.0766,15.7412,98.6069,29.7472,91.6446,81.1176,4.8696,81.2152,4.8514,147.5607,43.6972,79.3876,29.2026
1.2961,12.9922,13.0707,15.7452,98.6088,29.746,91.6524,81.1139,4.8501,81.2095,4.8685,147.5645,43.6932,79.3797,29.2063
1.3022,12.9387,13.0174,15.6569,103.9243,29.5711,95.6399,80.3807,4.8262,80.4178,4.8115,158.0108,44.3489,80.0659,29.4845
1.3083,12.9177,13.0327,15.6583,103.9189,29.5742,95.6373,80.3833,4.8029,80.4173,4.8132,158.0533,44.3605,80.0321,29.4593
1.3144,12.9136,13.0366,15.6462,103.9184,29.5744,95.6588,80.3784,4.8163,80.4161,4.814,158.0387,44.3689,80.0321,29.4765
1.3205,12.9367,13.0408,15.6687,103.9254,29.577,95.6436,80.3631,4.8079,80.421,4.7929,158.0652,44.3837,80.0569,29.4757
1.3266,12.9303,13.0359,15.6437,103.9168,29.5671,95.6577,80.36,4.7937,80.4439,4.8159,158.052,44.3541,80.0566,29.5017
1.3327,12.9115,13.0254,15.6604,103.9266,29.5896,95.6392,80.374,4.8138,80.4148,4.8234,158.0409,44.3743,80.0564,29.4898
1.3388,12.9282,13.0308,15.673,103.9063,29.5524,95.6536,80.3787,4.8188,80.434,4.826,158.0505,44.3591,80.0503,29.4822
1.3449,12.9263,13.0157,15.6383,103.9092,29.5749,95.6432,80.3829,4.8066,80.4265,4.8088,158.0334,44.3706,80.0439,29.4881
1.3511,12.8854,13.0175,15.6205,106.224,29.4968,97.4145,80.0864,4.7869,80.0972,4.7771,162.6305,44.6644,80.3571,29.6114
1.3572,12.905,12.9922,15.6483,106.215,29.494,97.4115,80.0661,4.7952,80.0731,4.793,162.6232,44.6758,80.3834,29.6131
1.3633,12.9084,13.0087,15.6268,106.2323,29.5039,97.4141,80.0679,4.7842,80.0967,4.7987,162.6319,44.6763,80.3595,29.611
1.3694,12.8922,13.0038,15.6186,106.2192,29.4979,97.4137,80.0573,4.8117,80.1129,4.8037,162.6329,44.6599,80.334,29.6044
1.3755,12.9066,13.0003,15.6287,106.2192,29.5003,97.4145,80.0573,4.8075,80.0834,4.7816,162.6272,44.6695,80.3602,29.5992
1.3816,12.9073,13.0095,15.6353,106.2245,29.4947,97.4291,80.0651,4.8103,80.0831,4.7892,162.6312,44.6597,80.344,29.6092
1.3877,12.9005,13.0049,15.6268,106.2251,29.4752,97.4357,80.0684,4.7952,80.1015,4.8026,162.6278,44.6583,80.3755,29.5951
1.3938,12.884,12.995,15.6129,106.2398,29.4857,97.4159,80.0703,4.7992,80.109,4.786,162.6223,44.667,80.3664,29.6112
1.3999,12.8925,13.0106,15.6268,106.2571,29.4781,97.4165,80.0742,4.7992,80.1113,4.7806,162.6062,44.6727,80.3652,29.5813
1.406,12.8701,12.9778,15.5813,107.8168,29.4154,98.6205,79.8348,4.7883,79.8962,4.7996,165.7515,44.8717,80.5561,29.67
1.4121,12.8784,12.9775,15.6025,107.8357,29.4435,98.6521,79.8534,4.77,79.8617,4.7846,165.7403,44.8783,80.5669,29.6931
1.4182,12.874,12.973,15.6095,107.8371,29.4284,98.6416,79.8649,4.799,79.88,4.7872,165.7449,44.8662,80.5556,29.6909
1.4243,12.8737,12.9832,15.5918,107.8229,29.4294,98.6369,79.8637,4.7833,79.8905,4.7712,165.7579,44.8716,80.5681,29.6994
1.4304,12.8775,12.9975,15.587,107.8244,29.4325,98.6488,79.8629,4.7908,79.8821,4.7841,165.7264,44.8711,80.5648,29.6976
1.4365,12.8761,12.9704,15.6061,107.8211,29.4313,98.6186,79.858,4.788,79.8807,4.7927,165.731,44.8779,80.5539,29.7086
1.4426,12.8739,12.9867,15.608,107.8178,29.4342,98.6377,79.8635,4.7673,79.8839,4.7759,165.732,44.859,80.5492,29.6898
1.4487,12.8904,12.9894,15.5947,107.8098,29.4325,98.6257,79.8535,4.8019,79.8728,4.7699,165.7436,44.8489,80.5679,29.6999
1.4549,12.8757,12.9617,15.5631,109.5572,29.388,99.9683,79.6338,4.7609,79.644,4.7824,169.1056,45.12,80.8031,29.7747
1.461,12.8479,12.9754,15.5689,109.5586,29.3785,99.9649,79.6287,4.7569,79.6543,4.7691,169.1121,45.1114,80.8025,29.7833
1.4671,12.8798,12.9497,15.5714,109.5469,29.3794,99.973,79.6263,4.7787,79.6492,4.7835,169.089,45.12,80.8087,29.7859
1.4732,12.8638,12.9765,15.5606,109.5522,29.3741,99.9687,79.6274,4.7586,79.6478,4.7732,169.102,45.133,80.8155,29.7814
1.4793,12.8564,12.9649,15.5773,109.5369,29.3774,99.9656,79.6206,4.7763,79.6439,4.7753,169.1026,45.1347,80.8218,29.7648
1.4854,12.8509,12.9696,15.5776,109.55,29.3653,99.9761,79.6268,4.7706,79.6388,4.748,169.0868,45.121,80.8004,29.7623
1.4915,12.8814,12.9458,15.568,109.5393,29.3812,99.9938,79.634,4.7697,79.659,4.7815,169.1163,45.1194,80.8006,29.7669
1.4976,12.843,12.9484,15.5814,109.5528,29.3768,99.9665,79.6091,4.7784,79.6322,4.7658,169.1027,45.121,80.8243,29.7743
1.5037,12.8327,12.9292,15.5481,111.0241,29.3414,101.1304,79.4415,4.7517,79.4507,4.7491,171.9855,45.3235,80.9836,29.8373
1.5098,12.8468,12.9354,15.5501,111.0441,29.3376,101.1039,79.4134,4.7551,79.4475,4.7534,171.962,45.3092,80.9992,29.85
1.5159,12.8463,12.9432,15.5569,111.0348,29.3227,101.1169,79.4161,4.7533,79.4481,4.7704,171.9909,45.3138,80.9911,29.843
1.522,12.8321,12.9322,15.5471,111.027,29.3223,101.1282,79.4325,4.7594,79.4477,4.7594,171.9931,45.3151,80.9722,29.8409
1.5281,12.8258,12.9436,15.5605,111.0529,29.3384,101.1309,79.4269,4.7514,79.4535,4.7628,171.9889,45.3172,80.9831,29.8515
1.5342,12.8387,12.9275,15.543,111.0532,29.3213,101.1219,79.4199,4.7574,79.4654,4.7643,171.992,45.3,80.9889,29.8546
1.5403,12.8359,12.9694,15.5508,111.0412,29.3156,101.1114,79.4295,4.7558,79.4685,4.739,171.9844,45.3011,81.0102,29.8447
1.5464,12.8446,12.947,15.5437,111.0377,29.3373,101.1244,79.4091,4.7453,79.4756,4.7671,171.9877,45.3067,80.9842,29.8533
1.5526,12.8326,12.9275,15.509,112.8014,29.2623,102.4821,79.2065,4.7454,79.2144,4.7561,175.3491,45.506,81.1863,29.9099
1.5587,12.8316,12.9352,15.5258,112.7951,29.2852,102.4769,79.1982,4.7353,79.2385,4.7609,175.3451,45.5258,81.1899,29.9446
1.5648,12.8273,12.9166,15.5422,112.8034,29.2613,102.4824,79.2069,4.7386,79.2207,4.7534,175.3543,45.5063,81.1699,29.9102
1.5709,12.8289,12.9295,15.5156,112.7909,29.2775,102.4828,79.2222,4.7547,79.2217,4.7214,175.3521,45.5057,81.1784,29.9478
1.577,12.8152,12.9467,15.5219,112.7874,29.2558,102.4755,79.2003,4.7392,79.2263,4.7343,175.3453,45.5122,81.1787,29.9464
1.5831,12.8216,12.9205,15.5285,112.7993,29.2594,102.4504,79.2101,4.736,79.2209,4.7481,175.3381,45.5092,81.1721,29.9296
1.5892,12.8289,12.9294,15.5357,112.8008,29.2814,102.4789,79.1941,4.7529,79.2216,4.7382,175.359,45.5139,81.1811,29.9414
1.5953,12.8391,12.9289,15.5033,112.8116,29.2854,102.4673,79.2181,4.7514,79.2306,4.7488,175.351,45.4938,81.1514,29.9326
1.6014,12.8115,12.9036,15.5049,114.2058,29.2194,103.5738,79.0405,4.7262,79.0523,4.7296,177.9904,45.6851,81.347,29.9815
1.6075,12.8238,12.9143,15.4959,114.1941,29.2196,103.5525,79.0269,4.7391,79.034,4.7392,178.0033,45.6762,81.318,29.9784
1.6136,12.8075,12.9041,15.5061,114.2008,29.2103,103.5889,79.0223,4.7439,79.0658,4.7368,177.9784,45.6918,81.3256,29.9952
1.6197,12.7956,12.9045,15.5083,114.1945,29.2228,103.5777,79.0336,4.7331,79.0689,4.7186,177.9815,45.6702,81.3477,29.997
1.6258,12.7997,12.8932,15.5117,114.1903,29.2448,103.5794,79.044,4.7277,79.0489,4.7239,177.9881,45.6779,81.3319,29.9892
1.6319,12.787,12.9112,15.4846,114.1935,29.2364,103.5785,79.0398,4.728,79.0551,4.7406,177.9816,45.6778,81.3415,29.9933
1.638,12.8064,12.9055,15.5037,114.2097,29.2413,103.5643,79.0262,4.7334,79.0615,4.7493,177.9903,45.709,81.3486,29.9876
1.6441,12.8062,12.9125,15.4838,114.1885,29.2254,103.5925,79.0346,4.7591,79.0665,4.7388,177.9878,45.6736,81.3514,29.9995
1.6503,12.7835,12.8752,15.4562,116.6888,29.1562,105.5635,78.7339,4.7162,78.7472,4.7095,182.679,45.9694,81.5895,30.0732
1.6564,12.8044,12.8877,15.4671,116.6873,29.1426,105.5696,78.7315,4.7093,78.7456,4.7296,182.6845,45.9707,81.6096,30.0929
1.6625,12.7751,12.8917,15.4609,116.7049,29.1419,105.5382,78.7375,4.7059,78.7287,4.7174,182.6952,45.9619,81.6009,30.0719
1.6686,12.7972,12.8827,15.4724,116.6948,29.1495,105.5536,78.7212,4.7177,78.7488,4.719,182.6986,45.9744,81.6133,30.0747
1.6747,12.7677,12.873,15.4799,116.7129,29.1285,105.5505,78.7186,4.722,78.7601,4.7002,182.6783,45.9844,81.6089,30.091
1.6808,12.7826,12.8848,15.4341,116.6914,29.1379,105.545,78.7278,4.7197,78.7702,4.722,182.6643,45.9709,81.6039,30.1009
1.6869,12.7675,12.8817,15.4713,116.6905,29.1576,105.556,78.7448,4.7298,78.7525,4.7115,182.6748,45.9747,81.6115,30.0963
1.693,12.7738,12.8863,15.4644,116.6767,29.1478,105.5569,78.7144,4.7251,78.7343,4.719,182.6828,45.986,81.6183,30.0683
1.6991,12.7914,12.8693,15.4574,116.6942,29.1423,105.5626,78.7243,4.7033,78.7668,4.7222,182.6924,45.9745,81.6048,30.0883
1.7052,12.7267,12.8201,15.3724,122.1759,28.9974,109.9406,78.0743,4.6483,78.0944,4.6793,192.881,46.6386,82.1633,30.2706
1.7113,12.7254,12.8255,15.383,122.1839,28.9625,109.9352,78.0825,4.6867,78.0962,4.6621,192.8681,46.6023,82.1826,30.2386
1.7174,12.7344,12.815,15.3866,122.1537,28.9719,109.9379,78.0825,4.6811,78.0867,4.6772,192.8543,46.612,82.1928,30.2475
1.7235,12.7101,12.8187,15.3755,122.166,28.9996,109.9381,78.0693,4.6678,78.0868,4.6695,192.8688,46.6367,82.1897,30.244
1.7296,12.7169,12.8284,15.3753,122.1623,28.9964,109.9416,78.0844,4.6889,78.1108,4.6852,192.8623,46.6258,82.1793,30.241
1.7357,12.7093,12.8187,15.4009,122.1594,28.9654,109.9364,78.0955,4.6867,78.1153,4.6818,192.856,46.6227,82.1791,30.2598
