hemodynamics fdo2 value,bgDO2,caSys_pCO2,cvSys_pCO2,cvSys_pO2,caSys_pO2,caSys_HCO3,cvSys_HCO3,caSys_O2sat,cvSys_O2sat,caSys_pH,cvSys_pH,caSys_BE
0.225,1229.0985,32.0148,41.1576,44.3126,92.5803,22.3888,23.733,96.7124,79.9481,7.4757,7.3679,-1.2563
0.2258,1229.103,31.9896,41.1513,44.304,92.5536,22.3857,23.7261,96.7228,79.9731,7.4844,7.3701,-1.2531
0.2266,1229.0871,32.0009,41.1566,44.3118,92.5845,22.3952,23.7614,96.7248,79.9781,7.4727,7.3813,-1.2577
0.2274,1229.1106,31.9888,41.1713,44.301,92.5618,22.3977,23.7274,96.7145,79.9849,7.4763,7.3566,-1.2586
0.2282,1229.1085,31.9966,41.1654,44.2955,92.5816,22.3795,23.7426,96.7124,79.9785,7.4652,7.3584,-1.2433
0.229,1229.0921,32.007,41.1547,44.3179,92.5806,22.3885,23.7449,96.7301,79.9748,7.486,7.379,-1.2593
0.2298,1229.1144,32.0077,41.1715,44.2924,92.5746,22.3941,23.7435,96.7395,79.9687,7.4733,7.3804,-1.2418
0.2306,1229.126,32.0035,41.1535,44.3302,92.5778,22.3845,23.7266,96.7206,79.9737,7.4683,7.3772,-1.2356
0.2314,1229.0962,31.9886,41.1549,44.3266,92.5801,22.3973,23.7283,96.7203,79.9352,7.4824,7.375,-1.2601
0.2321,1229.0975,31.9798,41.1573,44.31,92.5779,22.3741,23.7335,96.7275,79.966,7.4686,7.3876,-1.2407
0.2329,1229.0969,31.9956,41.1732,44.3166,92.5594,22.3941,23.7275,96.7109,79.9616,7.4601,7.3677,-1.24
0.2337,1229.1117,31.9801,41.1585,44.3205,92.5644,22.3755,23.7301,96.7131,79.9846,7.4682,7.3809,-1.2693
0.2345,1229.0956,31.9706,41.1561,44.3158,92.5741,22.3971,23.7387,96.7293,79.9773,7.4722,7.4028,-1.2772
0.2353,1229.108,31.9764,41.1707,44.3101,92.5595,22.382,23.7581,96.7263,79.9438,7.4827,7.3774,-1.2672
0.2361,1229.0964,31.9841,41.1455,44.3078,92.5691,22.3965,23.7233,96.7248,79.9693,7.4474,7.3753,-1.2432
0.2369,1229.1122,31.9719,41.152,44.3139,92.5407,22.3917,23.7386,96.722,79.969,7.4771,7.3717,-1.2377
0.2377,1229.0939,31.9853,41.1706,44.3254,92.5553,22.3971,23.7413,96.728,79.9765,7.4758,7.3794,-1.2658
0.2385,1229.0923,31.9969,41.1632,44.3078,92.5846,22.3993,23.7465,96.736,79.9685,7.474,7.3958,-1.2566
0.2393,1229.1076,31.9913,41.1553,44.3086,92.5665,22.3961,23.7302,96.7441,79.9864,7.4649,7.3742,-1.2522
0.2401,1229.0958,31.9884,41.1574,44.3019,92.5647,22.3854,23.7319,96.7323,79.9726,7.467,7.375,-1.2679
0.2408,1229.1021,31.9969,41.1556,44.307,92.579,22.3846,23.7165,96.72,79.9731,7.4603,7.3985,-1.2693
0.2416,1229.1036,31.983,41.1721,44.2899,92.5796,22.3945,23.741,96.7206,79.9771,7.4574,7.3979,-1.2474
0.2424,1229.1108,31.979,41.1435,44.3101,92.5775,22.3912,23.7414,96.7251,79.9801,7.4709,7.3694,-1.2376
0.2432,1229.1066,32.0019,41.1363,44.3273,92.5627,22.3957,23.7399,96.7083,79.9694,7.4448,7.3827,-1.2666
0.244,1229.1035,31.9748,41.1546,44.3102,92.5804,22.3901,23.7532,96.7116,79.978,7.47,7.3862,-1.2446
0.2448,1229.1153,31.9944,41.1681,44.313,92.5745,22.3951,23.7549,96.7321,79.9479,7.4669,7.3758,-1.2579
0.2456,1229.0903,31.9813,41.1567,44.3226,92.5565,22.4189,23.7538,96.7195,79.9643,7.4827,7.3687,-1.2521
0.2464,1229.0995,31.967,41.1432,44.3169,92.568,22.3859,23.7203,96.7197,79.9826,7.474,7.3796,-1.2396
0.2472,1229.0787,31.9842,41.1607,44.3041,92.5655,22.4026,23.7291,96.7053,79.9756,7.4555,7.3774,-1.2364
0.248,1229.1104,31.9802,41.155,44.3167,92.5757,22.3871,23.7469,96.7107,79.9795,7.4829,7.391,-1.2495
0.2487,1229.0931,31.9818,41.1527,44.3054,92.5686,22.3829,23.7371,96.7059,79.9594,7.48,7.386,-1.2376
0.2495,1229.1022,31.9972,41.1569,44.3038,92.5738,22.3898,23.7342,96.7205,79.9745,7.4791,7.3922,-1.248
0.2503,1229.0974,31.9926,41.1548,44.3164,92.585,22.4083,23.7472,96.7015,79.9645,7.4556,7.3853,-1.2295
0.2511,1229.0956,32.0004,41.1585,44.293,92.5694,22.3903,23.7448,96.7083,79.9621,7.4673,7.3868,-1.2454
0.2519,1229.0958,31.9732,41.1478,44.3318,92.5699,22.3791,23.7327,96.707,79.982,7.4617,7.3791,-1.2538
0.2527,1229.0877,31.9866,41.1564,44.3185,92.5567,22.3939,23.7464,96.7324,79.9645,7.4727,7.3467,-1.2538
0.2535,1229.0962,31.9942,41.1928,44.2915,92.5745,22.3871,23.7403,96.7205,79.9774,7.4598,7.3622,-1.2278
0.2543,1229.1088,31.9903,41.1518,44.3048,92.5703,22.3701,23.762,96.7397,79.974,7.453,7.3811,-1.2653
0.2551,1229.1054,32.0024,41.167,44.305,92.5612,22.396,23.7306,96.7318,79.9933,7.4665,7.3806,-1.2508
0.2559,1229.0939,31.9845,41.1399,44.3085,92.565,22.3779,23.7506,96.7213,79.9749,7.4823,7.3744,-1.2528
0.2567,1229.0973,31.9799,41.1752,44.3068,92.5613,22.3819,23.7413,96.7323,79.986,7.4746,7.3708,-1.2549
0.2574,1229.0902,31.9953,41.161,44.3076,92.5717,22.399,23.7399,96.7153,79.9933,7.4805,7.3854,-1.2484
0.2582,1229.092,32.0021,41.1516,44.3053,92.5479,22.3835,23.731,96.7267,79.9529,7.4697,7.3679,-1.2548
0.259,1229.0815,31.9853,41.1586,44.2908,92.5848,22.3789,23.7587,96.7143,79.9832,7.4706,7.3744,-1.2595
0.2598,1229.1013,32.0003,41.1602,44.3244,92.5639,22.4004,23.7545,96.7253,79.9934,7.4795,7.3892,-1.2519
0.2606,1229.1003,32.0003,41.145,44.3231,92.5754,22.3926,23.7376,96.7153,79.9613,7.4779,7.376,-1.2469
0.2614,1229.0969,31.9839,41.1745,44.3115,92.5634,22.3969,23.7323,96.7189,79.9594,7.4589,7.3773,-1.2664
0.2622,1229.099,31.9944,41.1509,44.3115,92.5749,22.4008,23.735,96.7294,79.96,7.4621,7.3891,-1.2541
0.263,1229.1001,31.9861,41.1752,44.3127,92.6033,22.3952,23.7581,96.7081,79.9575,7.4579,7.3906,-1.2356
0.2638,1229.1061,31.9965,41.1536,44.3058,92.5688,22.3985,23.7291,96.717,79.9838,7.4702,7.3687,-1.271
0.2646,1229.099,31.9834,41.1559,44.3036,92.562,22.3758,23.741,96.7075,79.9617,7.4774,7.3934,-1.2271
0.2654,1229.1016,31.987,41.1622,44.3101,92.5757,22.3867,23.7294,96.7209,79.9595,7.4721,7.3836,-1.2481
0.2661,1229.1108,31.9991,41.1468,44.3064,92.5627,22.4036,23.7461,96.7176,79.9764,7.4644,7.3807,-1.2389
0.2669,1229.0902,31.9906,41.1535,44.2994,92.5674,22.3967,23.7632,96.7124,79.9613,7.459,7.3781,-1.2533
0.2677,1229.0894,31.9849,41.1492,44.3162,92.5647,22.3913,23.7317,96.7189,79.9879,7.4773,7.3859,-1.2432
0.2685,1229.0973,31.9798,41.1596,44.3067,92.5529,22.3924,23.7388,96.7171,79.9577,7.4707,7.3972,-1.2526
0.2693,1229.0884,31.9908,41.1636,44.3144,92.5813,22.3779,23.7329,96.7222,79.9828,7.4541,7.3827,-1.2431
0.2701,1229.1611,31.9838,41.1589,44.304,92.6305,22.3756,23.731,96.7192,79.966,7.4742,7.3664,-1.267
0.2709,1229.1354,31.9693,41.1603,44.3029,92.636,22.3895,23.7323,96.7231,79.9727,7.4691,7.3742,-1.238
0.2717,1229.1646,31.9935,41.1554,44.3234,92.6208,22.381,23.7446,96.722,79.9534,7.4659,7.3827,-1.2341
0.2725,1229.1513,32.002,41.1747,44.2906,92.6271,22.3822,23.7448,96.7168,79.9699,7.4723,7.3832,-1.2529
0.2733,1229.1345,32.0053,41.1531,44.3218,92.622,22.412,23.7587,96.7162,79.9666,7.4924,7.388,-1.2504
0.2741,1229.156,31.9924,41.1742,44.318,92.6138,22.4061,23.7337,96.7203,79.9766,7.4672,7.3832,-1.2452
0.2748,1229.1467,31.9781,41.1514,44.3149,92.6344,22.38,23.7348,96.7202,79.9517,7.4699,7.3738,-1.264
0.2756,1233.5732,32.0069,41.1742,44.608,98.2691,22.4022,23.7412,96.9885,80.1809,7.4728,7.3796,-1.24
0.2764,1233.5763,31.9858,41.1847,44.6003,98.2874,22.3996,23.7315,96.9814,80.2039,7.4633,7.3729,-1.2497
0.2772,1233.5877,31.9912,41.1663,44.581,98.3003,22.3876,23.7428,96.9898,80.1836,7.4726,7.385,-1.2404
0.278,1233.5844,31.9953,41.1712,44.5927,98.2802,22.3925,23.7372,96.9755,80.1933,7.4845,7.3809,-1.2505
0.2788,1233.5826,31.9894,41.1809,44.594,98.2695,22.3674,23.7367,96.972,80.1915,7.4702,7.3892,-1.2493
0.2796,1233.5713,31.9879,41.1547,44.6096,98.2821,22.3892,23.7357,96.9588,80.1964,7.4639,7.3865,-1.2536
0.2804,1233.6311,31.9906,41.1543,44.5959,98.3321,22.3923,23.7349,96.9476,80.1783,7.4814,7.3798,-1.2524
0.2812,1233.6157,31.9939,41.1651,44.6082,98.3509,22.4013,23.7562,96.976,80.1887,7.4633,7.3873,-1.2621
0.282,1233.6316,31.998,41.1458,44.6063,98.3371,22.3724,23.7398,96.9795,80.188,7.4776,7.3877,-1.254
0.2828,1233.6191,31.9788,41.1627,44.6022,98.3433,22.3816,23.7347,97.0021,80.1969,7.4647,7.394,-1.2378
0.2835,1233.6188,31.973,41.1709,44.5945,98.3505,22.3919,23.7393,96.99,80.1902,7.4496,7.3921,-1.254
0.2843,1233.6266,32.0077,41.1558,44.6019,98.3589,22.3876,23.751,96.9702,80.182,7.4714,7.3769,-1.2371
0.2851,1233.638,31.9988,41.1647,44.5905,98.3261,22.3905,23.7309,96.9716,80.1978,7.4814,7.3681,-1.2621
0.2859,1233.6205,31.9819,41.1606,44.6174,98.3283,22.4033,23.7507,96.9854,80.1796,7.4919,7.3697,-1.234
0.2867,1233.6137,31.995,41.1597,44.5995,98.3484,22.3812,23.7356,96.981,80.1907,7.4874,7.3804,-1.2387
0.2875,1233.626,31.9883,41.1679,44.6052,98.3294,22.3919,23.7145,96.9841,80.1899,7.4753,7.3921,-1.2385
0.2883,1233.621,31.9838,41.1765,44.6016,98.3356,22.3903,23.7248,96.9803,80.184,7.4729,7.393,-1.2475
0.2891,1233.6161,31.9881,41.1658,44.6007,98.3308,22.39,23.7498,96.9669,80.1969,7.4862,7.3725,-1.2486
0.2899,1233.5969,31.993,41.1873,44.6075,98.3428,22.3634,23.7381,96.9931,80.1947,7.4718,7.3636,-1.2363
0.2907,1233.6165,31.9868,41.1805,44.5961,98.3494,22.3733,23.7367,96.9816,80.1957,7.4695,7.392,-1.2508
0.2915,1233.6195,32.0083,41.1739,44.6026,98.3285,22.375,23.7502,96.9774,80.1824,7.4808,7.3912,-1.2511
0.2922,1233.5979,31.9875,41.1634,44.6054,98.3345,22.3913,23.7495,96.9709,80.1912,7.4543,7.394,-1.2492
0.293,1233.6144,31.975,41.1687,44.5865,98.3446,22.3753,23.7235,96.9706,80.1969,7.4576,7.384,-1.2521
0.2938,1233.6111,31.9865,41.1824,44.5957,98.3432,22.3896,23.7296,96.9706,80.1918,7.4639,7.3681,-1.249
0.2946,1233.5994,32.0017,41.1817,44.6095,98.345,22.3807,23.7481,96.9805,80.1996,7.4582,7.3903,-1.2516
0.2954,1234.7159,32.0007,41.1799,44.6877,99.5189,22.3996,23.7337,97.0269,80.2858,7.4542,7.3662,-1.2396
0.2962,1234.7003,31.9924,41.1711,44.6835,99.4908,22.3532,23.744,97.042,80.2876,7.4691,7.3839,-1.2667
0.297,1234.7064,32.0084,41.1601,44.6751,99.5122,22.3784,23.7229,97.0673,80.2831,7.4829,7.3776,-1.2528
0.2978,1234.6855,31.9784,41.1812,44.7112,99.5174,22.3874,23.7407,97.0584,80.2946,7.4701,7.395,-1.2462
0.2986,1234.6857,31.9892,41.1717,44.6866,99.5166,22.3763,23.7462,97.0447,80.2764,7.4622,7.3772,-1.2403
0.2994,1234.7105,32.0057,41.1763,44.7013,99.5149,22.3827,23.7396,97.0404,80.2877,7.4789,7.3911,-1.2348
0.3002,1234.7311,31.984,41.1709,44.691,99.5185,22.3829,23.7406,97.0507,80.2873,7.4867,7.3785,-1.2346
0.3009,1234.7075,31.9925,41.1746,44.7011,99.5213,22.3954,23.7331,97.0608,80.2713,7.473,7.3874,-1.2665
0.3017,1234.7053,31.9779,41.1625,44.6918,99.5051,22.3895,23.7351,97.0354,80.2894,7.4773,7.4011,-1.251
0.3025,1234.7033,32.0021,41.176,44.7045,99.5359,22.3943,23.7494,97.073,80.2741,7.4668,7.3911,-1.2531
0.3033,1234.7019,31.9885,41.1708,44.6978,99.5249,22.4035,23.7418,97.0338,80.2645,7.477,7.3728,-1.2528
0.3041,1234.6922,31.9635,41.1668,44.7065,99.5168,22.381,23.7255,97.0325,80.2849,7.4595,7.3814,-1.2405
0.3049,1234.7084,32.002,41.1628,44.6758,99.509,22.3791,23.7385,97.0322,80.2732,7.4759,7.3811,-1.272
0.3057,1234.7284,31.99,41.1667,44.694,99.5321,22.3919,23.7533,97.0565,80.2726,7.4608,7.3786,-1.2469
0.3065,1234.6965,32.0125,41.1487,44.7002,99.5194,22.3816,23.7288,97.0474,80.2812,7.4527,7.3874,-1.2478
0.3073,1234.706,31.9937,41.1746,44.6926,99.5292,22.383,23.7505,97.0442,80.3078,7.4639,7.3973,-1.2415
0.3081,1234.7182,31.9856,41.1611,44.6788,99.5177,22.394,23.7513,97.0592,80.2843,7.4867,7.3779,-1.2428
0.3088,1234.6973,31.9951,41.1756,44.6975,99.5228,22.3928,23.7392,97.0366,80.2944,7.4567,7.3643,-1.2556
0.3096,1234.7078,31.9873,41.172,44.6947,99.5171,22.3901,23.7331,97.0486,80.2808,7.4829,7.3682,-1.2517
0.3104,1234.7219,31.9783,41.1601,44.7071,99.5093,22.3886,23.7404,97.0375,80.2876,7.4628,7.3841,-1.263
0.3112,1234.7046,31.9867,41.1728,44.7001,99.5253,22.3952,23.743,97.0442,80.2904,7.4785,7.3849,-1.2468
0.312,1234.7025,31.985,41.1667,44.6895,99.5281,22.395,23.7412,97.0461,80.2651,7.4827,7.3742,-1.2458
0.3128,1234.7172,31.9843,41.1674,44.6968,99.5249,22.3975,23.74,97.0434,80.2815,7.4671,7.3886,-1.2517
0.3136,1234.7094,31.9929,41.1638,44.6954,99.5202,22.3797,23.724,97.0514,80.2698,7.4625,7.3711,-1.2468
0.3144,1234.7158,31.9746,41.1694,44.6962,99.5293,22.3912,23.7612,97.0368,80.2802,7.4517,7.4016,-1.2344
0.3152,1234.7224,31.9927,41.1698,44.7071,99.5066,22.3792,23.7391,97.0442,80.2789,7.4558,7.3782,-1.2411
0.316,1234.6987,31.9782,41.1626,44.6748,99.5261,22.3823,23.7365,97.0709,80.2749,7.4711,7.3816,-1.2643
0.3168,1234.7244,31.9958,41.1786,44.7059,99.5015,22.3613,23.7322,97.0518,80.2796,7.4757,7.3793,-1.2425
0.3175,1234.7077,31.9936,41.1701,44.7054,99.5336,22.3703,23.738,97.0491,80.2741,7.4549,7.3792,-1.2731
0.3183,1234.7065,32.0061,41.1673,44.6875,99.509,22.4048,23.7474,97.0464,80.2983,7.4786,7.3919,-1.258
0.3191,1234.7166,31.9857,41.1749,44.6738,99.5249,22.406,23.7522,97.0437,80.2675,7.4794,7.3723,-1.2267
0.3199,1234.7087,32.01,41.1696,44.6907,99.5184,22.3864,23.7497,97.0458,80.2901,7.4741,7.3671,-1.2515
0.3207,1237.0763,31.9893,41.1749,44.8975,102.003,22.389,23.7441,97.1949,80.5004,7.4769,7.3764,-1.2547
0.3215,1237.0756,31.9938,41.1915,44.8694,101.9925,22.4283,23.7488,97.1926,80.4865,7.4741,7.3883,-1.248
0.3223,1237.0794,31.9883,41.1814,44.9102,101.9682,22.4016,23.7252,97.2145,80.4819,7.4756,7.385,-1.2408
0.3231,1237.0875,32.0067,41.1681,44.8914,101.9848,22.3773,23.7444,97.2,80.4825,7.4707,7.3823,-1.2482
0.3239,1237.0978,31.9848,41.1899,44.8972,101.9702,22.4005,23.7362,97.2094,80.4801,7.4493,7.3727,-1.2525
0.3247,1237.0893,32.0134,41.159,44.9011,102.0035,22.3947,23.7431,97.1805,80.4784,7.4809,7.3735,-1.243
0.3255,1247.8401,32.0082,41.1765,45.8607,113.2001,22.3996,23.7537,97.8657,81.3972,7.473,7.4004,-1.2606
0.3262,1247.8354,32.0193,41.1945,45.8584,113.2015,22.3919,23.7275,97.8643,81.4177,7.4738,7.3975,-1.2542
0.327,1247.8338,32.0148,41.1853,45.8416,113.1827,22.387,23.7452,97.8618,81.396,7.46,7.3776,-1.2254
0.3278,1247.8414,32.0017,41.2057,45.8374,113.2013,22.3951,23.7186,97.8582,81.4097,7.4655,7.3717,-1.2599
0.3286,1247.8265,32.01,41.1923,45.853,113.1957,22.3712,23.7428,97.8802,81.3955,7.4572,7.3937,-1.2513
0.3294,1247.8406,32.0075,41.1867,45.8442,113.1981,22.3951,23.7237,97.8742,81.4046,7.4698,7.3786,-1.2518
0.3302,1252.7596,32.0216,41.2208,46.2791,118.3285,22.3815,23.7402,98.1703,81.8086,7.4589,7.3827,-1.2544
0.331,1252.7522,32.0111,41.2328,46.2983,118.324,22.3827,23.738,98.1684,81.8058,7.4801,7.3915,-1.2433
0.3318,1252.7829,32.0096,41.2192,46.2659,118.3364,22.399,23.7509,98.1578,81.8228,7.4779,7.3815,-1.2507
0.3326,1252.7647,32.0206,41.2114,46.2863,118.3163,22.4039,23.7288,98.17,81.828,7.4755,7.3944,-1.2525
0.3334,1252.7712,32.029,41.2243,46.2922,118.3217,22.3894,23.7459,98.1619,81.8185,7.4708,7.3895,-1.2583
0.3342,1252.7676,32.0229,41.2,46.2889,118.3444,22.3842,23.7252,98.1758,81.8178,7.4728,7.3909,-1.2529
0.3349,1252.765,32.0218,41.2087,46.2877,118.3141,22.3858,23.7468,98.1695,81.8269,7.4724,7.3779,-1.2631
0.3357,1252.9569,32.0222,41.184,46.3027,118.5136,22.381,23.7515,98.1902,81.8302,7.4581,7.3716,-1.2437
0.3365,1252.952,32.0288,41.2085,46.288,118.5136,22.3823,23.7536,98.1887,81.853,7.4538,7.3877,-1.2632
0.3373,1252.9581,32.0164,41.2075,46.3147,118.508,22.3882,23.7302,98.169,81.8144,7.4718,7.3764,-1.2535
0.3381,1252.9598,32.0075,41.1975,46.3155,118.5293,22.3915,23.726,98.1936,81.8251,7.4653,7.3672,-1.2255
0.3389,1252.9409,32.0158,41.2062,46.2943,118.5338,22.397,23.7435,98.1799,81.8366,7.4728,7.3888,-1.2439
0.3397,1252.9643,32.0143,41.2018,46.2884,118.5227,22.3942,23.7353,98.177,81.8415,7.4559,7.3858,-1.2296
0.3405,1252.965,32.0208,41.2113,46.3075,118.5153,22.3874,23.7467,98.1872,81.836,7.4662,7.3846,-1.2555
0.3413,1252.9548,32.0163,41.2133,46.292,118.5164,22.4045,23.7475,98.1661,81.819,7.4572,7.3811,-1.2329
0.3421,1252.9399,32.0294,41.2142,46.2909,118.5196,22.3733,23.7332,98.1865,81.8329,7.46,7.3714,-1.232
0.3429,1252.9447,32.0179,41.2169,46.2891,118.5207,22.3818,23.7464,98.1914,81.8458,7.4876,7.3891,-1.2541
0.3436,1252.9562,32.0262,41.2063,46.3075,118.5196,22.3713,23.7128,98.1736,81.8326,7.4727,7.3687,-1.2529
0.3444,1252.9488,32.012,41.2151,46.2855,118.5136,22.4072,23.7399,98.1829,81.8279,7.4613,7.3719,-1.2495
0.3452,1252.9618,32.0204,41.2136,46.2896,118.5124,22.391,23.7411,98.1927,81.8417,7.4732,7.3668,-1.252
0.346,1252.9519,32.0406,41.202,46.2887,118.5072,22.3948,23.7332,98.1942,81.8441,7.4743,7.3651,-1.2408
0.3468,1252.9467,32.009,41.219,46.2962,118.524,22.393,23.7356,98.1698,81.8651,7.4749,7.3615,-1.2552
0.3476,1252.953,32.0172,41.2015,46.3063,118.5222,22.4025,23.7591,98.1921,81.866,7.4804,7.3787,-1.2693
0.3484,1252.948,32.012,41.2014,46.307,118.5213,22.3854,23.7361,98.169,81.8411,7.4739,7.387,-1.2526
0.3492,1252.9544,32.0194,41.1988,46.285,118.5238,22.3741,23.7413,98.183,81.8312,7.4727,7.3847,-1.251
0.35,1252.9508,32.0212,41.2162,46.3014,118.5193,22.4012,23.7356,98.186,81.8424,7.4655,7.3893,-1.2596
0.3508,1253.0539,32.0267,41.2132,46.3057,118.6327,22.4141,23.7368,98.1868,81.8579,7.4706,7.3795,-1.216
0.3516,1253.0678,32.029,41.1928,46.2923,118.6224,22.3804,23.7271,98.1787,81.8638,7.476,7.3609,-1.255
0.3523,1253.0517,32.0278,41.201,46.3089,118.6297,22.3733,23.7432,98.188,81.8537,7.4581,7.392,-1.2567
0.3531,1253.048,32.0071,41.2022,46.3044,118.631,22.4008,23.7449,98.1957,81.8506,7.4609,7.3808,-1.235
0.3539,1253.0479,32.0134,41.2212,46.3213,118.6249,22.3904,23.7525,98.1876,81.8267,7.477,7.3687,-1.2463
0.3547,1253.0608,32.0282,41.2136,46.2911,118.6218,22.3928,23.7311,98.1923,81.844,7.4766,7.3903,-1.2485
0.3555,1262.8553,32.037,41.2224,47.1824,129.8771,22.3896,23.7615,98.7788,82.6721,7.4747,7.3709,-1.2454
0.3563,1262.8512,32.0233,41.2292,47.1846,129.8515,22.393,23.7509,98.7607,82.6637,7.4702,7.382,-1.271
0.3571,1262.8351,32.0314,41.2236,47.1959,129.8732,22.3934,23.7681,98.7706,82.6753,7.4751,7.368,-1.2565
0.3579,1262.8602,32.0171,41.2268,47.1763,129.865,22.3954,23.7507,98.757,82.6755,7.4761,7.3849,-1.2502
0.3587,1262.8475,32.0369,41.2159,47.1625,129.8725,22.3937,23.7535,98.7757,82.6627,7.4804,7.3853,-1.245
0.3595,1262.8472,32.0401,41.2279,47.1716,129.8542,22.3848,23.7527,98.7926,82.6748,7.4691,7.3846,-1.2693
0.3603,1262.8338,32.0375,41.2186,47.1754,129.8711,22.4119,23.7362,98.7694,82.6738,7.4781,7.3879,-1.2557
0.361,1262.8558,32.0287,41.2305,47.1919,129.8658,22.3783,23.7509,98.7762,82.6671,7.4543,7.3835,-1.2541
0.3618,1262.8448,32.0326,41.2409,47.1636,129.8618,22.4049,23.7615,98.7929,82.676,7.4832,7.3749,-1.2568
0.3626,1262.8416,32.0398,41.2401,47.1909,129.8747,22.3836,23.7503,98.7802,82.6698,7.4765,7.3841,-1.2476
0.3634,1262.8471,32.0218,41.2478,47.1792,129.8859,22.3955,23.7585,98.7665,82.6847,7.5038,7.3802,-1.2479
0.3642,1262.8323,32.0413,41.2282,47.1797,129.863,22.3864,23.7451,98.7635,82.6755,7.4761,7.3755,-1.2417
0.365,1262.8531,32.0252,41.2514,47.1812,129.8675,22.3837,23.7551,98.769,82.6784,7.4742,7.3826,-1.2542
0.3658,1262.8487,32.0348,41.2215,47.1734,129.8753,22.3741,23.7563,98.7698,82.6723,7.4641,7.3873,-1.2594
0.3666,1262.8489,32.03,41.2175,47.1846,129.8751,22.3891,23.738,98.7541,82.665,7.4682,7.3803,-1.2499
0.3674,1262.8429,32.0047,41.2178,47.159,129.8573,22.3919,23.7482,98.7513,82.6823,7.478,7.3744,-1.2489
0.3682,1262.86,32.0319,41.2349,47.1844,129.8681,22.3769,23.7607,98.7644,82.6651,7.4591,7.3887,-1.2582
0.3689,1262.834,32.0245,41.2266,47.1625,129.8732,22.3928,23.7626,98.772,82.6707,7.4715,7.3779,-1.2528
0.3697,1262.8529,32.0389,41.2258,47.1924,129.856,22.411,23.7744,98.7624,82.6682,7.4633,7.3806,-1.2406
0.3705,1262.8737,32.0318,41.222,47.1888,129.948,22.3806,23.7577,98.7878,82.6477,7.4728,7.39,-1.2681
0.3713,1262.8752,32.028,41.2267,47.1903,129.9436,22.3909,23.7628,98.7705,82.6815,7.4724,7.3748,-1.2444
0.3721,1262.889,32.0192,41.2446,47.1941,129.9391,22.3833,23.7456,98.7601,82.6816,7.4605,7.3732,-1.2443
0.3729,1262.8899,32.032,41.2347,47.1739,129.9536,22.3886,23.7333,98.7682,82.671,7.4591,7.381,-1.26
0.3737,1262.8885,32.0249,41.2281,47.1776,129.9294,22.389,23.7394,98.7547,82.6785,7.4613,7.3715,-1.2495
0.3745,1262.8769,32.0374,41.2483,47.1831,129.9381,22.4056,23.7472,98.7706,82.682,7.4679,7.3701,-1.2371
