hemodynamics shuntfraction value,caSys_pCO2,cvSys_pCO2,caSys_HCO3,cvSys_HCO3,caSys_BE,bgDO2,caSys_pH,cvSys_pH,cvSys_pO2,caSys_pO2,caSys_O2sat,cvSys_O2sat
5.005,33.156,42.5138,22.5731,23.9331,-1.2909,1303.4882,7.4441,7.3636,51.3002,257.7679,99.8062,85.7984
5.1051,33.1585,42.4998,22.5703,23.9272,-1.2859,1303.4779,7.4571,7.3782,51.2832,257.6823,99.8023,85.7748
5.2052,33.1362,42.4798,22.5541,23.9564,-1.3071,1303.4324,7.4446,7.3857,51.2923,257.662,99.8229,85.7685
5.3053,33.1084,42.4475,22.5631,23.9412,-1.2988,1303.4596,7.4363,7.3693,51.2966,257.6681,99.8229,85.7865
5.4054,33.0643,42.4146,22.5573,23.9345,-1.2978,1303.4692,7.4537,7.3716,51.3013,257.6895,99.8066,85.7801
5.5055,32.9706,42.2903,22.5245,23.909,-1.2847,1303.5073,7.4526,7.3646,51.3105,257.8455,99.8027,85.7814
5.6056,32.6059,41.9045,22.4871,23.8372,-1.2719,1303.5886,7.4418,7.3754,51.3559,258.1909,99.8247,85.8288
5.7057,32.5581,41.8545,22.483,23.8346,-1.2779,1303.6131,7.4617,7.3776,51.3547,258.2603,99.8151,85.8335
5.8058,32.5209,41.8231,22.4741,23.8376,-1.2756,1303.5882,7.4632,7.3883,51.3519,258.2515,99.8126,85.8407
5.9059,32.425,41.7252,22.4539,23.8176,-1.2528,1303.5993,7.4648,7.382,51.3674,258.2305,99.8127,85.8365
6.006,32.3196,41.6363,22.4481,23.8167,-1.274,1303.5604,7.4727,7.3658,51.3768,258.1054,99.8264,85.8115
6.1061,32.0993,41.38,22.4154,23.7698,-1.2464,1303.4602,7.4781,7.3726,51.3634,257.6327,99.8232,85.8269
6.2062,32.0072,41.2876,22.4067,23.7616,-1.2528,1303.4316,7.4688,7.38,51.3742,257.5005,99.8224,85.809
6.3063,31.9884,41.2704,22.3908,23.7248,-1.2338,1303.3974,7.4648,7.3682,51.3834,257.3422,99.8068,85.8315
6.4064,31.9763,41.2599,22.3857,23.7562,-1.2389,1303.3388,7.4805,7.3797,51.374,257.1737,99.8139,85.8375
6.5065,31.977,41.2329,22.4004,23.7528,-1.2384,1303.3439,7.4632,7.3599,51.3608,257.1404,99.8061,85.8193
6.6066,31.9595,41.2115,22.3895,23.751,-1.2388,1303.2233,7.4613,7.3783,51.3645,256.6114,99.805,85.8392
6.7067,31.8907,41.1547,22.3701,23.7199,-1.2608,1302.8623,7.4664,7.385,51.304,255.0979,99.8138,85.8055
6.8068,31.8715,41.1371,22.3743,23.7048,-1.2477,1302.7176,7.4854,7.381,51.2979,254.5152,99.79,85.7815
6.9069,31.8555,41.1452,22.3434,23.7448,-1.2596,1302.6675,7.4705,7.3949,51.2989,254.3949,99.8081,85.7871
7.007,31.8444,41.075,22.3846,23.7083,-1.2472,1302.5358,7.4492,7.3681,51.2831,253.7388,99.8152,85.7793
7.1071,31.8137,41.0895,22.353,23.7374,-1.2398,1302.4427,7.4725,7.3737,51.2933,253.391,99.8052,85.7637
7.2072,31.831,41.0694,22.3564,23.7291,-1.2417,1302.4322,7.4611,7.4027,51.272,253.3617,99.8097,85.7613
7.3073,31.8391,41.1044,22.3649,23.7067,-1.2486,1302.4297,7.461,7.3861,51.2696,253.3169,99.8133,85.7594
7.4074,31.834,41.0779,22.3646,23.7183,-1.2371,1302.3912,7.4813,7.3791,51.2621,253.1384,99.7954,85.7686
7.5075,31.8294,41.0968,22.3496,23.7303,-1.2676,1302.2231,7.4601,7.3764,51.2501,252.5345,99.8013,85.7474
7.6076,31.8336,41.0884,22.3661,23.7019,-1.2506,1301.9163,7.4614,7.3885,51.2395,251.3196,99.8046,85.7197
7.7077,31.8367,41.1104,22.3749,23.716,-1.244,1301.8833,7.4629,7.3887,51.2237,251.1564,99.8088,85.7263
7.8078,31.8541,41.1009,22.3735,23.7163,-1.2376,1301.6365,7.4614,7.386,51.2006,250.1286,99.7881,85.7079
7.9079,31.8802,41.1096,22.3706,23.7172,-1.2519,1301.3672,7.4765,7.3862,51.1657,248.9913,99.8036,85.6991
8.008,31.8947,41.1232,22.3857,23.7082,-1.2518,1301.2388,7.4801,7.367,51.1535,248.4353,99.7898,85.6794
8.1081,31.8813,41.1255,22.3701,23.7299,-1.2456,1301.1838,7.464,7.3779,51.1355,248.251,99.7799,85.6822
8.2082,31.8758,41.1357,22.3898,23.7354,-1.2384,1301.1717,7.4871,7.3846,51.1516,248.2256,99.8136,85.7049
8.3083,31.8757,41.1364,22.3752,23.733,-1.2484,1301.185,7.4597,7.3644,51.13,248.214,99.8084,85.6708
8.4084,31.8886,41.1367,22.3626,23.7542,-1.2499,1301.1329,7.4678,7.3866,51.1414,247.9979,99.8022,85.6753
8.5085,31.9024,41.1237,22.3824,23.7297,-1.2531,1301.0445,7.4804,7.3742,51.1235,247.6606,99.7949,85.6584
8.6086,31.9648,41.1942,22.385,23.7294,-1.2426,1300.7286,7.4614,7.378,51.116,246.3884,99.7991,85.6391
8.7087,31.9887,41.2146,22.3902,23.7481,-1.2638,1300.5966,7.4949,7.3797,51.0976,245.9323,99.7897,85.6481
8.8088,32.0077,41.2097,22.3925,23.7478,-1.2546,1300.5282,7.4651,7.3669,51.089,245.531,99.7929,85.6315
8.9089,32.0037,41.2061,22.4006,23.7404,-1.2515,1300.3993,7.466,7.3797,51.0739,245.0295,99.7849,85.6295
9.009,32.0582,41.236,22.4007,23.7437,-1.2651,1299.9943,7.4825,7.3781,51.0316,243.4698,99.7882,85.6034
9.1091,32.0446,41.2446,22.3996,23.7458,-1.2491,1299.9554,7.4658,7.3654,51.0474,243.2208,99.7989,85.6148
9.2092,32.0489,41.2501,22.4049,23.7612,-1.2513,1299.8146,7.4652,7.3565,51.0246,242.7119,99.7916,85.5848
9.3093,32.059,41.248,22.4113,23.7565,-1.2693,1299.728,7.473,7.3652,51.0253,242.3646,99.7878,85.5922
9.4094,32.0745,41.2851,22.3903,23.7565,-1.2598,1299.4929,7.4578,7.3599,50.9846,241.3533,99.7909,85.5712
9.5095,32.0455,41.2636,22.398,23.7498,-1.2763,1299.4885,7.4738,7.3814,50.9824,241.3255,99.798,85.5743
9.6096,32.0551,41.2815,22.393,23.7603,-1.2581,1299.1559,7.4757,7.3745,50.9357,239.9688,99.791,85.539
9.7097,32.0633,41.2987,22.4023,23.77,-1.2775,1298.981,7.4789,7.3973,50.9107,239.2796,99.7783,85.543
9.8098,32.0702,41.3018,22.3958,23.7604,-1.2808,1298.864,7.4816,7.3759,50.9167,238.8412,99.7681,85.5234
9.9099,32.0834,41.3038,22.3974,23.7585,-1.2518,1298.7488,7.4579,7.3884,50.9016,238.4022,99.7689,85.5024
10.01,32.0876,41.3145,22.383,23.7629,-1.274,1298.566,7.4572,7.3762,50.8756,237.5366,99.7759,85.5146
10.1101,32.0698,41.3467,22.4089,23.7585,-1.278,1298.464,7.4579,7.3939,50.8335,237.1399,99.7709,85.4896
10.2102,32.0719,41.3418,22.4035,23.7426,-1.2487,1298.4238,7.4777,7.3813,50.8556,237.0259,99.7655,85.4937
10.3103,32.0717,41.3538,22.3882,23.7618,-1.2605,1298.4344,7.465,7.3667,50.8382,236.9756,99.7863,85.4738
10.4104,32.0787,41.358,22.3969,23.7502,-1.2552,1298.3798,7.4655,7.3953,50.8569,236.8267,99.7802,85.4743
10.5105,32.0662,41.3597,22.3912,23.7565,-1.2654,1298.2815,7.4774,7.3574,50.8409,236.4015,99.7889,85.4683
10.6106,32.0933,41.3687,22.3873,23.7732,-1.2672,1298.0638,7.4599,7.372,50.7935,235.4737,99.7558,85.4496
10.7107,32.0971,41.3815,22.4033,23.7703,-1.2624,1297.9392,7.4679,7.3857,50.7911,235.0708,99.7658,85.4408
10.8108,32.0801,41.3899,22.4079,23.7854,-1.2583,1297.9343,7.4849,7.3667,50.7868,234.9665,99.7623,85.4322
10.9109,32.0728,41.3736,22.3995,23.7726,-1.2583,1297.8877,7.47,7.3904,50.7655,234.8383,99.7543,85.437
11.011,32.0996,41.3885,22.3963,23.756,-1.2762,1297.8318,7.463,7.3902,50.7767,234.5796,99.7665,85.4335
11.1111,32.114,41.4264,22.3997,23.766,-1.2647,1297.636,7.4784,7.3756,50.7576,233.8376,99.7736,85.4148
11.2112,32.1053,41.4194,22.4079,23.7739,-1.2582,1297.5558,7.4743,7.3745,50.7394,233.523,99.7634,85.4316
11.3113,32.1328,41.4312,22.418,23.7568,-1.2758,1297.4827,7.4535,7.385,50.721,233.201,99.7631,85.3911
11.4114,32.1042,41.4489,22.4282,23.7778,-1.2656,1297.4287,7.4739,7.3708,50.7342,233.0778,99.7353,85.3812
11.5115,32.1269,41.4265,22.4111,23.756,-1.2524,1297.3064,7.4651,7.3893,50.7037,232.5712,99.7542,85.3812
11.6116,32.162,41.4673,22.4189,23.7704,-1.264,1296.9175,7.457,7.3891,50.6624,230.9846,99.7659,85.3448
11.7117,32.1813,41.4723,22.419,23.7739,-1.2621,1296.7222,7.4574,7.3674,50.6449,230.2858,99.742,85.3182
11.8118,32.1975,41.4494,22.415,23.7877,-1.2462,1296.6896,7.4425,7.3813,50.6104,230.1153,99.7543,85.3162
11.9119,32.1897,41.4748,22.439,23.774,-1.2623,1296.6294,7.4724,7.3542,50.6335,229.8734,99.736,85.3132
12.012,32.2036,41.4488,22.418,23.7823,-1.2684,1296.5019,7.4545,7.3664,50.6018,229.3043,99.7542,85.3339
12.1121,32.2132,41.4943,22.4128,23.7806,-1.251,1296.4279,7.4553,7.3841,50.5958,229.0778,99.7427,85.312
12.2122,32.2063,41.4586,22.4127,23.767,-1.2549,1296.4042,7.4702,7.3869,50.6044,228.9561,99.7457,85.2987
12.3123,32.2012,41.4925,22.4295,23.7767,-1.244,1296.4049,7.4454,7.3871,50.5881,228.9283,99.759,85.3119
12.4124,32.2268,41.4711,22.4091,23.7728,-1.2555,1296.3749,7.4645,7.3743,50.6005,228.8383,99.7565,85.3053
12.5125,32.1963,41.4771,22.4301,23.7875,-1.2613,1296.36,7.4508,7.3929,50.6028,228.7857,99.7471,85.3074
12.6126,32.2182,41.4995,22.4249,23.7752,-1.2502,1296.3072,7.4655,7.3687,50.5726,228.5839,99.7402,85.31
12.7127,32.2454,41.4945,22.4213,23.7709,-1.2714,1296.0377,7.4624,7.3685,50.5644,227.566,99.7553,85.2919
12.8128,32.2586,41.4861,22.4052,23.7808,-1.2618,1295.835,7.4657,7.3703,50.5743,226.7786,99.7432,85.2838
12.9129,32.2324,41.4801,22.4175,23.7629,-1.2685,1295.7582,7.4547,7.3691,50.5655,226.4558,99.7186,85.275
13.013,32.2579,41.4909,22.4247,23.8095,-1.2653,1295.4718,7.4653,7.3771,50.5247,225.3671,99.7306,85.2517
13.1131,32.2557,41.4978,22.4093,23.7914,-1.2742,1295.4393,7.4615,7.3831,50.5225,225.1849,99.7484,85.2463
13.2132,32.251,41.5165,22.4273,23.7761,-1.2533,1295.4222,7.4524,7.3794,50.5087,225.1002,99.7341,85.2674
13.3133,32.2542,41.5069,22.4404,23.7596,-1.2578,1295.3947,7.4639,7.3668,50.5133,225.0121,99.7402,85.2319
13.4134,32.2543,41.5083,22.4117,23.8068,-1.26,1295.35,7.4563,7.3737,50.5032,224.8991,99.7438,85.2466
13.5135,32.2626,41.5038,22.4395,23.8056,-1.2586,1295.3515,7.4726,7.368,50.5045,224.8866,99.7238,85.2424
13.6136,32.2526,41.506,22.4384,23.7934,-1.2845,1295.3048,7.4702,7.3819,50.5074,224.6299,99.7525,85.2328
13.7137,32.2501,41.5069,22.4472,23.7785,-1.269,1295.2004,7.4564,7.3648,50.4902,224.3338,99.7158,85.2228
13.8138,32.2807,41.5074,22.4203,23.7952,-1.2651,1294.9792,7.4647,7.3911,50.4603,223.4305,99.7267,85.2155
13.9139,32.264,41.4893,22.4326,23.7952,-1.2652,1294.4004,7.4572,7.3808,50.381,221.2412,99.7177,85.1688
14.014,32.2536,41.5146,22.4255,23.789,-1.2744,1294.3488,7.4639,7.3888,50.3786,221.0603,99.7209,85.1453
14.1141,32.2588,41.4757,22.4333,23.7791,-1.2575,1294.1231,7.4688,7.3747,50.3398,220.1287,99.7175,85.1244
14.2142,32.2749,41.4937,22.4484,23.7915,-1.2847,1293.9196,7.4673,7.3808,50.3176,219.3774,99.7363,85.1141
14.3143,32.2849,41.5037,22.4245,23.7981,-1.2788,1293.9123,7.4565,7.375,50.3115,219.3872,99.7192,85.1217
14.4144,32.2453,41.4948,22.4381,23.7838,-1.2768,1293.924,7.4616,7.3923,50.3154,219.3699,99.7123,85.101
14.5145,32.2812,41.4898,22.4429,23.799,-1.262,1293.858,7.4549,7.3704,50.3192,219.1918,99.696,85.1013
14.6146,32.26,41.5041,22.4314,23.7795,-1.2691,1293.6173,7.4499,7.3765,50.2794,218.1606,99.7171,85.071
14.7147,32.2783,41.5136,22.4411,23.7787,-1.2705,1293.4347,7.4702,7.3829,50.26,217.5645,99.7242,85.0555
14.8148,32.2656,41.4988,22.4364,23.7868,-1.2776,1293.0523,7.4573,7.3604,50.2182,215.9997,99.6995,85.0391
14.9149,32.2745,41.5317,22.4203,23.7831,-1.2868,1293.067,7.476,7.374,50.2118,215.995,99.7053,85.035
15.015,32.2847,41.5107,22.429,23.7831,-1.2842,1293.0322,7.4511,7.3636,50.2151,215.9868,99.7188,85.0296
15.1151,32.2584,41.499,22.4115,23.7944,-1.2939,1293.0287,7.4543,7.3875,50.2128,216.0053,99.722,85.0327
15.2152,32.2717,41.4902,22.4261,23.8076,-1.2745,1292.8608,7.4485,7.3612,50.2002,215.2489,99.6966,84.9998
15.3153,32.2635,41.4988,22.4279,23.7736,-1.2918,1292.5827,7.4484,7.3813,50.154,214.2052,99.6987,85.0065
15.4154,32.2781,41.4918,22.4214,23.7925,-1.2725,1292.5728,7.4683,7.3784,50.1327,214.2245,99.697,85.002
15.5155,32.242,41.4955,22.4336,23.7961,-1.2628,1291.8714,7.4542,7.3799,50.0678,211.6042,99.6876,84.9321
15.6156,32.2744,41.4872,22.4268,23.784,-1.2653,1291.5282,7.4631,7.3754,50.0285,210.2674,99.6658,84.8937
15.7157,32.2625,41.5154,22.4197,23.7873,-1.2633,1291.4188,7.4604,7.3775,50.0128,209.9083,99.6821,84.8807
15.8158,32.2769,41.4959,22.4422,23.8029,-1.2775,1291.1503,7.4757,7.3665,49.9971,208.9517,99.6747,84.8634
15.9159,32.2784,41.4786,22.4405,23.7986,-1.2671,1291.1618,7.4677,7.3794,50.0102,208.9441,99.6913,84.8697
16.016,32.2705,41.5074,22.4387,23.7965,-1.2615,1291.1746,7.4506,7.3953,49.9932,208.9444,99.683,84.8728
16.1161,32.2643,41.4861,22.4371,23.7843,-1.2586,1291.1472,7.4658,7.3642,49.984,208.9391,99.6828,84.864
16.2162,32.2682,41.4945,22.4426,23.7942,-1.2742,1291.169,7.4448,7.3698,49.9789,208.9479,99.6777,84.871
16.3163,32.2641,41.4916,22.4133,23.7981,-1.2714,1291.0822,7.4606,7.4036,49.9726,208.6456,99.674,84.8733
16.4164,32.2853,41.4809,22.4364,23.7887,-1.2624,1290.961,7.47,7.3796,49.9678,208.1925,99.6698,84.8705
16.5165,32.2735,41.485,22.4394,23.7645,-1.2795,1290.5405,7.4498,7.3646,49.941,206.6017,99.6476,84.8295
16.6166,32.2688,41.4976,22.4355,23.7806,-1.2862,1290.4822,7.4625,7.3821,49.9354,206.3842,99.6548,84.8444
16.7167,32.2608,41.5156,22.4226,23.776,-1.2746,1290.3051,7.4653,7.3927,49.9082,205.7413,99.6598,84.8141
16.8168,32.2552,41.4717,22.4221,23.7822,-1.2713,1290.2658,7.456,7.3712,49.9079,205.5738,99.6468,84.8182
16.9169,32.294,41.4888,22.4306,23.7929,-1.2689,1290.0476,7.4642,7.3903,49.9042,204.9098,99.6781,84.7961
17.017,32.2655,41.4683,22.4407,23.7789,-1.2888,1290.0341,7.4498,7.3984,49.89,204.716,99.6518,84.8254
17.1171,32.2714,41.495,22.4386,23.7906,-1.2739,1289.9567,7.4587,7.3933,49.8838,204.4635,99.6697,84.8199
17.2172,32.2708,41.4774,22.4494,23.7841,-1.2626,1289.8644,7.4478,7.3912,49.8929,204.1412,99.6612,84.7959
17.3173,32.281,41.4869,22.4539,23.7963,-1.2939,1289.8089,7.4511,7.393,49.871,203.8937,99.6696,84.8061
17.4174,32.2616,41.5136,22.4166,23.7715,-1.2572,1289.7104,7.4521,7.3871,49.8368,203.5295,99.6604,84.8071
17.5175,32.2793,41.4866,22.4184,23.804,-1.2617,1289.651,7.4574,7.3816,49.8485,203.4039,99.6605,84.7717
17.6176,32.2752,41.4775,22.4187,23.7802,-1.2699,1289.4189,7.4513,7.3802,49.8341,202.4237,99.6416,84.757
17.7177,32.2618,41.4806,22.4209,23.7879,-1.2801,1289.2923,7.4521,7.3649,49.8232,201.9991,99.6341,84.7786
17.8178,32.2786,41.4956,22.4472,23.7874,-1.257,1289.2936,7.4568,7.4038,49.8393,202.0094,99.6459,84.7805
17.9179,32.2745,41.4831,22.4345,23.783,-1.2675,1289.201,7.4629,7.3709,49.8276,201.7118,99.6573,84.7577
18.018,32.2551,41.5015,22.4425,23.7888,-1.2819,1288.9922,7.4785,7.3805,49.8005,200.9889,99.6474,84.7441
18.1181,32.2658,41.4883,22.4355,23.8016,-1.2687,1288.7239,7.4444,7.3592,49.7836,199.9686,99.6382,84.7143
18.2182,32.2821,41.5071,22.4296,23.7892,-1.2707,1288.5724,7.4545,7.3787,49.7618,199.446,99.6294,84.7058
18.3183,32.2763,41.5048,22.4302,23.761,-1.2951,1288.5143,7.4603,7.3751,49.7555,199.2548,99.6376,84.6971
18.4184,32.2871,41.515,22.4319,23.7755,-1.2709,1288.4696,7.451,7.3848,49.7512,199.1029,99.6267,84.7377
18.5185,32.2815,41.4945,22.424,23.7829,-1.2764,1288.4919,7.4502,7.3989,49.7498,199.1201,99.6301,84.7122
18.6186,32.2851,41.4938,22.4268,23.7935,-1.2743,1288.38,7.4516,7.3882,49.7405,198.7498,99.6129,84.693
18.7187,32.3027,41.5192,22.4524,23.7776,-1.2663,1288.0103,7.4719,7.388,49.6945,197.5107,99.6259,84.6573
18.8188,32.3342,41.5074,22.4298,23.7945,-1.2548,1287.7817,7.4624,7.3845,49.6668,196.7161,99.6268,84.64
18.9189,32.3221,41.5205,22.4363,23.7757,-1.2825,1287.6996,7.4591,7.3717,49.6456,196.3813,99.6318,84.6313
19.019,32.3328,41.5301,22.4522,23.7977,-1.277,1287.5398,7.4624,7.3675,49.6299,195.8435,99.6171,84.6284
19.1191,32.3382,41.5617,22.4568,23.8,-1.284,1287.4621,7.4667,7.3746,49.5867,195.5091,99.6128,84.5967
19.2192,32.3592,41.5477,22.4469,23.7774,-1.259,1287.4284,7.4597,7.3613,49.6059,195.4457,99.6087,84.5912
19.3193,32.3626,41.5554,22.4246,23.7712,-1.2857,1287.4243,7.4563,7.3869,49.6119,195.4462,99.6116,84.6148
19.4194,32.362,41.5639,22.4644,23.7856,-1.2508,1287.3386,7.4644,7.3678,49.5903,195.1605,99.6149,84.6035
19.5195,32.385,41.5649,22.4497,23.7971,-1.267,1287.2754,7.4769,7.3849,49.5902,194.8914,99.6235,84.5795
19.6196,32.4634,41.6305,22.4512,23.7878,-1.2746,1286.8955,7.4543,7.3743,49.5578,193.578,99.613,84.5698
19.7197,32.498,41.6575,22.4676,23.7852,-1.2691,1286.8301,7.4639,7.3828,49.5332,193.2838,99.613,84.5638
19.8198,32.514,41.656,22.4583,23.7897,-1.2753,1286.7565,7.45,7.3869,49.5412,193.0393,99.6142,84.55
19.9199,32.4979,41.6288,22.4528,23.82,-1.2631,1286.6846,7.4639,7.3872,49.5476,192.8896,99.6026,84.542
20.02,32.5626,41.7148,22.4904,23.817,-1.2626,1286.4258,7.4628,7.3809,49.4971,191.8801,99.593,84.5111
20.1201,32.5832,41.723,22.4818,23.8389,-1.2926,1286.3555,7.4631,7.3656,49.5096,191.7104,99.5885,84.5243
20.2202,32.5795,41.7246,22.4782,23.8139,-1.2718,1286.3204,7.4682,7.3761,49.4888,191.5617,99.5901,84.5049
20.3203,32.5996,41.7539,22.4883,23.8265,-1.2742,1286.1862,7.45,7.3694,49.505,191.152,99.5907,84.5325
20.4204,32.6304,41.7824,22.4864,23.8108,-1.2707,1286.1358,7.4701,7.381,49.4683,190.91,99.5836,84.5017
20.5205,32.6463,41.7806,22.4831,23.8414,-1.2635,1286.0333,7.4872,7.3865,49.4822,190.53,99.5913,84.4865
20.6206,32.6694,41.8184,22.5011,23.8451,-1.2796,1285.8108,7.4661,7.366,49.4459,189.8154,99.5658,84.4759
20.7207,32.7062,41.8217,22.4948,23.8466,-1.2974,1285.7693,7.4657,7.3835,49.4337,189.692,99.5933,84.4825
20.8208,32.7182,41.8538,22.5038,23.8406,-1.2805,1285.5969,7.4587,7.3924,49.4288,189.0905,99.5709,84.4556
