hemodynamics hb value,bgDO2,caSys_pCO2,cvSys_pCO2,cvSys_pO2,caSys_HCO3,cvSys_HCO3,cvSys_O2sat,hb,caSys_pH,cvSys_pH,caSys_pO2,caSys_BE,caSys_O2sat
6.0661,625.6122,30.2035,38.6712,36.7275,22.1026,23.37,70.2677,5.8812,7.4973,7.3946,278.6413,-1.272,99.8619
6.0811,625.6178,30.1859,38.6565,36.7218,22.1268,23.3617,70.2642,5.9052,7.5047,7.4031,278.6407,-1.2817,99.8541
6.0961,625.6178,30.1777,38.6636,36.7432,22.1105,23.3716,70.2621,5.8685,7.4744,7.3979,278.6187,-1.2836,99.8592
6.1111,625.6286,30.1973,38.6711,36.7349,22.1579,23.3662,70.2556,5.8856,7.5059,7.4,278.6174,-1.2735,99.8757
6.1261,625.614,30.1915,38.6539,36.7511,22.114,23.3685,70.2519,5.8952,7.5049,7.3996,278.617,-1.2764,99.856
6.1411,625.6144,30.2005,38.6536,36.7405,22.1183,23.3519,70.2705,5.9073,7.503,7.3728,278.6121,-1.2776,99.8546
6.1562,625.6019,30.206,38.678,36.7324,22.1454,23.3532,70.2681,5.8974,7.4996,7.4023,278.6254,-1.289,99.8676
6.1712,625.6161,30.1726,38.6765,36.723,22.1105,23.3586,70.2495,5.8956,7.4975,7.3946,278.6511,-1.2816,99.8671
6.1862,625.6047,30.1828,38.6614,36.7457,22.1099,23.3843,70.2666,5.8884,7.5049,7.4008,278.6222,-1.289,99.8481
6.2012,625.6103,30.2039,38.6624,36.7376,22.1253,23.36,70.2541,5.8927,7.4975,7.3924,278.6363,-1.2713,99.8692
6.2162,625.619,30.1895,38.6729,36.7574,22.1044,23.3562,70.263,5.8992,7.4892,7.3966,278.6301,-1.2851,99.8524
6.2312,625.6218,30.1933,38.6756,36.737,22.1255,23.364,70.261,5.8988,7.4756,7.3992,278.6242,-1.2811,99.8471
6.2462,625.5805,30.1818,38.6753,36.7465,22.1341,23.3662,70.2657,5.8795,7.4843,7.4144,278.621,-1.2794,99.8529
6.2613,625.6002,30.2038,38.676,36.7269,22.1332,23.361,70.2713,5.8919,7.4937,7.3999,278.6089,-1.2638,99.8507
6.2763,625.6223,30.2064,38.6728,36.7399,22.1138,23.3733,70.2566,5.8856,7.4664,7.4002,278.6301,-1.2913,99.8695
6.2913,625.6227,30.1737,38.6507,36.7545,22.1337,23.3388,70.2667,5.9065,7.5001,7.3959,278.6128,-1.2966,99.835
6.3063,625.5946,30.1942,38.6764,36.7262,22.1086,23.3664,70.2636,5.89,7.4795,7.3975,278.6463,-1.286,99.8464
6.3213,625.6243,30.1809,38.6707,36.7564,22.1175,23.3729,70.2591,5.9048,7.4928,7.3963,278.6087,-1.2722,99.8693
6.3363,625.6157,30.2002,38.6609,36.7583,22.1124,23.3572,70.2531,5.9114,7.4906,7.3917,278.6266,-1.2774,99.8692
6.3514,625.6044,30.199,38.6696,36.7485,22.1194,23.3732,70.277,5.8828,7.4926,7.3819,278.6519,-1.2711,99.8567
6.3664,625.6094,30.1822,38.667,36.7581,22.1253,23.3555,70.2616,5.9142,7.4872,7.4005,278.6513,-1.2741,99.863
6.3814,625.6248,30.1915,38.6638,36.7297,22.1086,23.3773,70.2646,5.8906,7.5092,7.3895,278.6352,-1.295,99.8527
6.3964,625.5932,30.1843,38.6849,36.7408,22.1202,23.3731,70.2533,5.894,7.4933,7.395,278.6357,-1.2848,99.8548
6.4114,625.6272,30.1814,38.6797,36.7489,22.1188,23.3467,70.2752,5.8789,7.4754,7.4057,278.6363,-1.2674,99.8643
6.4264,625.6069,30.1733,38.6871,36.7385,22.115,23.3613,70.2552,5.8907,7.4811,7.3994,278.6453,-1.287,99.8594
6.4414,625.6138,30.1932,38.6985,36.7373,22.1016,23.3487,70.2719,5.8848,7.4923,7.3852,278.6298,-1.2674,99.8319
6.4565,625.6093,30.182,38.6651,36.7507,22.1034,23.371,70.2513,5.8926,7.4746,7.3951,278.636,-1.2903,99.8654
6.4715,625.6147,30.1789,38.673,36.7504,22.1209,23.3652,70.2648,5.8792,7.4919,7.38,278.6388,-1.2923,99.8615
6.4865,625.6205,30.1899,38.6651,36.7241,22.1202,23.3364,70.2641,5.8848,7.4915,7.4047,278.6344,-1.2873,99.8532
6.5015,718.7414,30.2869,38.834,39.5057,22.1374,23.3789,74.3473,6.8578,7.4918,7.4342,276.3837,-1.2587,99.8475
6.5165,718.759,30.2579,38.8376,39.5205,22.123,23.3904,74.3559,6.8474,7.5022,7.4019,276.408,-1.2715,99.8509
6.5315,718.7644,30.2651,38.796,39.5135,22.127,23.4013,74.3502,6.8447,7.4859,7.4015,276.3895,-1.2704,99.8517
6.5465,718.7831,30.2538,38.8282,39.4869,22.1353,23.4035,74.3422,6.837,7.499,7.4104,276.399,-1.272,99.8464
6.5616,718.7573,30.2961,38.8328,39.4929,22.1298,23.389,74.3516,6.8482,7.4847,7.3971,276.3907,-1.2403,99.8543
6.5766,718.7699,30.2708,38.8223,39.4745,22.141,23.4017,74.3326,6.8465,7.4848,7.383,276.3971,-1.2436,99.8452
6.5916,718.7535,30.2666,38.8246,39.5082,22.1305,23.3835,74.3412,6.8678,7.5072,7.4222,276.4234,-1.2615,99.8419
6.6066,718.7482,30.2468,38.8189,39.5118,22.1346,23.3937,74.3541,6.8571,7.4972,7.4156,276.4159,-1.2564,99.8595
6.6216,718.7646,30.2703,38.8332,39.5043,22.1186,23.3874,74.3599,6.8672,7.4949,7.4056,276.3945,-1.2387,99.8608
6.6366,718.7717,30.2551,38.827,39.5165,22.1298,23.3922,74.3662,6.862,7.4881,7.4034,276.3883,-1.2586,99.8401
6.6517,718.7749,30.2559,38.8222,39.4999,22.1264,23.3976,74.3603,6.864,7.5039,7.3954,276.3889,-1.2679,99.865
6.6667,718.7472,30.2761,38.829,39.4961,22.13,23.3876,74.3501,6.8478,7.4669,7.4181,276.3857,-1.271,99.8448
6.6817,718.7587,30.2611,38.8408,39.4897,22.1394,23.3824,74.3431,6.8586,7.4844,7.3942,276.3983,-1.2626,99.851
6.6967,718.7469,30.2499,38.8359,39.5055,22.1251,23.3908,74.37,6.8669,7.4726,7.4059,276.3973,-1.266,99.8413
6.7117,718.7577,30.2812,38.8351,39.5062,22.1278,23.3984,74.3565,6.8488,7.4938,7.3972,276.3995,-1.2522,99.8503
6.7267,718.7645,30.2609,38.8302,39.5072,22.1281,23.404,74.3315,6.8766,7.487,7.4038,276.4013,-1.2585,99.8573
6.7417,718.7629,30.2525,38.8204,39.504,22.1432,23.378,74.3602,6.8691,7.5122,7.4063,276.3958,-1.2807,99.856
6.7568,718.7558,30.2654,38.8365,39.49,22.1424,23.4096,74.3606,6.87,7.4937,7.4162,276.417,-1.2648,99.8368
6.7718,718.7713,30.2641,38.826,39.5084,22.1253,23.3723,74.3378,6.8702,7.4941,7.393,276.4177,-1.2382,99.8615
6.7868,718.7742,30.2844,38.8254,39.5147,22.1301,23.4068,74.355,6.8573,7.4847,7.4046,276.3945,-1.2649,99.8332
6.8018,718.7462,30.2684,38.8375,39.4868,22.1265,23.3801,74.3443,6.8591,7.5019,7.3897,276.4181,-1.2793,99.8534
6.8168,718.7604,30.2715,38.8154,39.475,22.1209,23.3793,74.3554,6.853,7.48,7.3906,276.4248,-1.268,99.8568
6.8318,718.7477,30.2653,38.8177,39.4997,22.0961,23.3724,74.3525,6.8519,7.4942,7.415,276.3835,-1.2576,99.8498
6.8468,718.7701,30.2586,38.8185,39.49,22.1441,23.4057,74.3551,6.8574,7.4838,7.3956,276.4055,-1.2704,99.8608
6.8619,718.7461,30.244,38.8217,39.5046,22.1235,23.3943,74.3349,6.8627,7.4918,7.4135,276.4072,-1.249,99.8434
6.8769,718.7574,30.2585,38.8276,39.4825,22.1284,23.3997,74.3554,6.856,7.5029,7.3776,276.4018,-1.2563,99.8357
6.8919,718.7654,30.2518,38.8329,39.5057,22.1195,23.4042,74.3555,6.8594,7.4961,7.392,276.383,-1.2665,99.854
6.9069,718.7489,30.252,38.8334,39.4983,22.1174,23.3902,74.3579,6.8632,7.4766,7.4038,276.4083,-1.2564,99.8742
6.9219,718.7546,30.2396,38.8102,39.5026,22.1423,23.4002,74.341,6.8511,7.4913,7.4139,276.3983,-1.2669,99.858
6.9369,718.7593,30.2702,38.8235,39.4939,22.136,23.395,74.3386,6.8487,7.4929,7.4024,276.4159,-1.2699,99.8476
6.952,718.7524,30.2491,38.8488,39.4909,22.1222,23.3804,74.345,6.8544,7.5172,7.4117,276.3739,-1.2454,99.8606
6.967,718.7709,30.2782,38.8221,39.4911,22.1297,23.3831,74.3452,6.8381,7.4838,7.4105,276.4028,-1.2536,99.8448
6.982,718.7631,30.2561,38.8222,39.4914,22.1322,23.3903,74.3483,6.8514,7.4816,7.4083,276.4058,-1.2608,99.8435
6.997,718.754,30.255,38.8398,39.4985,22.127,23.372,74.3519,6.8446,7.496,7.3988,276.4023,-1.2734,99.8482
7.012,718.7431,30.2522,38.8414,39.4907,22.1195,23.4083,74.3487,6.8585,7.4893,7.4128,276.4048,-1.2598,99.8504
7.027,718.7646,30.2583,38.8294,39.4853,22.1394,23.3927,74.3504,6.8581,7.4908,7.4188,276.4025,-1.2774,99.8683
7.042,718.7656,30.2434,38.8419,39.4905,22.1328,23.3845,74.3228,6.8432,7.4986,7.4044,276.4002,-1.2664,99.8594
7.0571,718.7437,30.2499,38.8268,39.5056,22.1169,23.404,74.3333,6.8472,7.4891,7.4015,276.4011,-1.2623,99.8364
7.0721,718.7489,30.2452,38.8298,39.498,22.1383,23.3953,74.3733,6.8572,7.4734,7.3869,276.4048,-1.268,99.8582
7.0871,718.7604,30.2646,38.815,39.4973,22.13,23.3651,74.3441,6.8668,7.495,7.3921,276.4141,-1.2535,99.8385
7.1021,718.7638,30.2551,38.8255,39.5046,22.1237,23.3654,74.3549,6.8408,7.4885,7.4006,276.3865,-1.2477,99.873
7.1171,718.7514,30.2546,38.8407,39.5035,22.1296,23.3968,74.3476,6.865,7.5035,7.411,276.4104,-1.2641,99.8457
7.1321,718.7606,30.2447,38.8294,39.5169,22.1223,23.3934,74.3441,6.8612,7.5113,7.3897,276.3968,-1.2548,99.8448
7.1471,718.7629,30.2577,38.8246,39.4815,22.1261,23.3893,74.3556,6.8703,7.4889,7.4283,276.3907,-1.2662,99.8516
7.1622,718.7507,30.26,38.8327,39.4883,22.1301,23.3891,74.3498,6.8442,7.4978,7.4168,276.3847,-1.249,99.8509
7.1772,718.7542,30.2657,38.8293,39.5027,22.1198,23.3807,74.3402,6.8733,7.4875,7.4111,276.3865,-1.2472,99.8621
7.1922,718.7658,30.2478,38.8229,39.4878,22.1486,23.3776,74.3437,6.869,7.4904,7.4182,276.4005,-1.2657,99.8529
7.2072,718.7697,30.2791,38.829,39.4876,22.1358,23.4029,74.3492,6.8529,7.5025,7.3888,276.4038,-1.2571,99.8445
7.2222,718.7665,30.2571,38.8279,39.5109,22.1347,23.399,74.3532,6.8781,7.4805,7.4176,276.4085,-1.2566,99.8509
7.2372,718.7502,30.2575,38.8316,39.4735,22.1293,23.398,74.349,6.8672,7.4933,7.4015,276.387,-1.2671,99.8607
7.2523,718.7616,30.2651,38.8465,39.5121,22.1349,23.3923,74.35,6.8391,7.4862,7.4184,276.4024,-1.2537,99.8277
7.2673,718.757,30.2511,38.8369,39.4788,22.1324,23.3963,74.3548,6.8541,7.4912,7.3912,276.3979,-1.276,99.866
7.2823,718.7623,30.2481,38.8361,39.4957,22.1266,23.398,74.3509,6.8626,7.5026,7.4016,276.4063,-1.2663,99.8591
7.2973,718.7555,30.2677,38.8217,39.4929,22.1199,23.3748,74.3511,6.8604,7.4919,7.4186,276.4027,-1.2568,99.854
7.3123,718.7584,30.2555,38.8515,39.5065,22.1132,23.3774,74.3569,6.8701,7.4751,7.4005,276.4074,-1.2676,99.8431
7.3273,718.7715,30.2579,38.8277,39.4897,22.1355,23.3926,74.3409,6.8631,7.4841,7.4002,276.4012,-1.2691,99.8293
7.3423,718.7575,30.2546,38.8194,39.501,22.131,23.3793,74.3555,6.8554,7.4821,7.4031,276.3969,-1.2686,99.8466
7.3574,718.7608,30.2658,38.8393,39.4866,22.1138,23.3864,74.3445,6.8261,7.4972,7.401,276.3928,-1.2475,99.8575
7.3724,718.768,30.2568,38.8248,39.5017,22.1204,23.3889,74.3651,6.833,7.4853,7.3954,276.3936,-1.258,99.8385
7.3874,718.7411,30.2619,38.8185,39.5035,22.1207,23.3856,74.3328,6.8621,7.4826,7.4142,276.4109,-1.2745,99.8567
7.4024,718.7708,30.2467,38.8251,39.4956,22.1313,23.3894,74.3485,6.8622,7.4751,7.4063,276.4064,-1.2625,99.853
7.4174,718.757,30.2598,38.8307,39.4975,22.1288,23.404,74.3443,6.8728,7.4917,7.4,276.403,-1.2684,99.8603
7.4324,718.7659,30.2844,38.8331,39.4893,22.1629,23.3731,74.3606,6.8674,7.4968,7.402,276.4023,-1.2638,99.8562
7.4474,718.7691,30.2689,38.8319,39.5003,22.1321,23.3747,74.3423,6.8734,7.4861,7.4078,276.3952,-1.2671,99.8416
7.4625,718.7646,30.2455,38.8329,39.5108,22.1236,23.3831,74.3323,6.8575,7.4786,7.3968,276.3869,-1.263,99.8444
7.4775,718.7605,30.2563,38.8215,39.5011,22.1314,23.3932,74.3709,6.8646,7.4837,7.4143,276.395,-1.2434,99.8642
7.4925,718.7592,30.26,38.8355,39.5085,22.1434,23.4073,74.3561,6.8574,7.4952,7.4104,276.3975,-1.2478,99.8556
7.5075,819.6123,31.1837,39.8725,42.0964,22.2603,23.5452,77.6078,7.9124,7.4807,7.3992,274.3966,-1.2275,99.8499
7.5225,819.6094,31.1703,39.8723,42.0984,22.2679,23.5216,77.6197,7.9294,7.4598,7.3971,274.3946,-1.2346,99.8413
7.5375,819.6098,31.1857,39.8817,42.0863,22.2593,23.5629,77.604,7.9351,7.4818,7.4082,274.3843,-1.238,99.8319
7.5526,819.6281,31.1816,39.8644,42.0984,22.2621,23.5318,77.606,7.9278,7.4808,7.3891,274.3939,-1.2189,99.8465
7.5676,819.6048,31.1828,39.8848,42.1215,22.2641,23.5476,77.6038,7.9019,7.4718,7.3983,274.4026,-1.237,99.8429
7.5826,819.6089,31.1798,39.8646,42.0836,22.2826,23.5474,77.6031,7.9215,7.4753,7.3922,274.4027,-1.2334,99.8492
7.5976,819.6078,31.1905,39.8728,42.0893,22.261,23.5486,77.6114,7.9184,7.4852,7.4089,274.386,-1.2415,99.8457
7.6126,819.6015,31.196,39.8775,42.0953,22.2634,23.5349,77.6066,7.9166,7.4766,7.3807,274.3922,-1.2233,99.8452
7.6276,819.6233,31.1765,39.8716,42.0965,22.2718,23.5373,77.6203,7.9318,7.4687,7.3791,274.399,-1.2362,99.8554
7.6426,819.6038,31.1938,39.8746,42.0962,22.246,23.5137,77.6017,7.9139,7.4856,7.3959,274.4021,-1.2464,99.8468
7.6577,819.6045,31.194,39.8488,42.1063,22.2721,23.5405,77.5912,7.9161,7.4715,7.3957,274.3925,-1.2336,99.8425
7.6727,819.6091,31.1814,39.8707,42.0905,22.2683,23.5359,77.6085,7.9293,7.4757,7.3824,274.4001,-1.2525,99.8432
7.6877,819.6275,31.216,39.8649,42.1192,22.286,23.5501,77.6211,7.9195,7.4865,7.389,274.392,-1.2571,99.8452
7.7027,819.6041,31.1851,39.8693,42.0991,22.2676,23.5498,77.6269,7.9165,7.4667,7.3939,274.4197,-1.2494,99.8648
7.7177,819.6178,31.1742,39.8774,42.1,22.2773,23.5497,77.6133,7.9086,7.4655,7.3858,274.4036,-1.2428,99.8558
7.7327,819.6103,31.1822,39.8628,42.0993,22.268,23.5356,77.6209,7.9185,7.4818,7.409,274.3914,-1.2434,99.8432
7.7477,819.6088,31.1885,39.8788,42.1019,22.2839,23.5382,77.5988,7.9313,7.4794,7.3745,274.3977,-1.2491,99.8428
7.7628,819.6107,31.1924,39.8898,42.0945,22.2524,23.5454,77.6154,7.9168,7.4773,7.39,274.4048,-1.2301,99.8436
7.7778,819.6041,31.1784,39.876,42.1039,22.2796,23.5295,77.5904,7.9231,7.4796,7.4014,274.3826,-1.2407,99.8369
7.7928,819.618,31.1874,39.8734,42.1109,22.2797,23.535,77.6095,7.917,7.4697,7.3979,274.4119,-1.2557,99.8535
7.8078,819.6085,31.1898,39.8617,42.1045,22.2543,23.5425,77.5942,7.916,7.4751,7.3957,274.3973,-1.2363,99.8527
7.8228,819.6195,31.1995,39.8459,42.0925,22.2653,23.548,77.602,7.922,7.461,7.393,274.3961,-1.2369,99.8517
7.8378,819.6156,31.1845,39.8756,42.0956,22.262,23.554,77.598,7.9303,7.4829,7.4013,274.4008,-1.2463,99.841
7.8529,819.6056,31.1804,39.8773,42.1128,22.265,23.5567,77.6091,7.9158,7.4832,7.3973,274.3898,-1.232,99.8427
7.8679,819.5926,31.2002,39.8687,42.1032,22.2624,23.5511,77.6121,7.9173,7.495,7.3879,274.4006,-1.2426,99.8667
7.8829,819.6104,31.208,39.8639,42.092,22.2692,23.5402,77.6015,7.9171,7.4675,7.3881,274.4201,-1.2169,99.8526
7.8979,819.6084,31.1878,39.8665,42.1013,22.2574,23.5521,77.6089,7.9009,7.4712,7.4148,274.4013,-1.2359,99.8654
7.9129,819.6246,31.1795,39.8544,42.1051,22.2528,23.5481,77.6038,7.9187,7.4677,7.3931,274.3868,-1.2448,99.8676
7.9279,819.5892,31.1854,39.885,42.0951,22.2662,23.542,77.595,7.9065,7.4901,7.3735,274.3927,-1.2515,99.8396
7.9429,819.6115,31.1969,39.8597,42.0942,22.2718,23.547,77.6119,7.9198,7.4799,7.3988,274.3883,-1.2488,99.8524
