hemodynamics dlco value,bgDO2,caSys_pCO2,cvSys_pCO2,cvSys_pO2,caSys_pO2,caSys_HCO3,cvSys_HCO3,caSys_O2sat,cvSys_O2sat,caSys_pH,cvSys_pH,caSys_BE
2.3874,1184.4869,31.9167,41.0833,41.2173,70.1153,22.3669,23.7179,93.544,76.5572,7.4861,7.381,-1.2557
2.4865,1184.5356,31.9241,41.0787,41.2064,70.1454,22.3986,23.7107,93.5667,76.5729,7.4556,7.3711,-1.2629
2.5856,1184.7581,31.9162,41.0569,41.2134,70.2205,22.3778,23.7069,93.55,76.5739,7.4771,7.3838,-1.258
2.6847,1184.7497,31.928,41.0832,41.1913,70.2175,22.3754,23.7198,93.5489,76.5567,7.4666,7.3765,-1.2712
2.7838,1184.7901,31.9233,41.0673,41.2099,70.218,22.3815,23.7384,93.563,76.5713,7.4713,7.3737,-1.2462
2.8829,1184.7905,31.9215,41.0645,41.2099,70.208,22.3907,23.7204,93.5528,76.5651,7.472,7.3695,-1.2673
2.982,1184.8231,31.9143,41.082,41.2158,70.2333,22.3665,23.7158,93.5593,76.5861,7.4572,7.3874,-1.2507
3.0811,1184.8282,31.9204,41.076,41.2049,70.2285,22.3851,23.7186,93.5639,76.5857,7.4605,7.374,-1.2417
3.1802,1184.9197,31.9306,41.0857,41.2136,70.2475,22.375,23.7211,93.5757,76.5664,7.4667,7.3813,-1.2386
3.2793,1184.9241,31.9289,41.0847,41.2125,70.2511,22.3819,23.699,93.5579,76.5596,7.4595,7.39,-1.247
3.3784,1184.9215,31.9039,41.0803,41.1964,70.2701,22.3682,23.7207,93.5741,76.5746,7.4772,7.3791,-1.2327
3.4775,1184.9355,31.9219,41.0683,41.208,70.2561,22.3711,23.7215,93.5879,76.5575,7.4829,7.3915,-1.2436
3.5766,1184.9399,31.9307,41.0821,41.2101,70.2706,22.3701,23.7247,93.5755,76.5519,7.465,7.3823,-1.2504
3.6757,1184.9297,31.9248,41.0834,41.2091,70.2591,22.3928,23.7328,93.5669,76.5713,7.4631,7.381,-1.2509
3.7748,1184.9308,31.9074,41.0676,41.209,70.2529,22.3726,23.7261,93.5816,76.5556,7.4878,7.3825,-1.2575
3.8739,1184.9241,31.911,41.0822,41.1987,70.2731,22.381,23.7237,93.5647,76.571,7.4743,7.3785,-1.2466
3.973,1184.899,31.9242,41.0601,41.2164,70.244,22.3852,23.7005,93.5656,76.5721,7.4669,7.3608,-1.2515
4.0721,1184.8194,31.9241,41.1001,41.2106,70.227,22.3819,23.7122,93.5693,76.5686,7.4706,7.37,-1.2481
4.1712,1184.8042,31.9249,41.0853,41.2194,70.2398,22.3801,23.724,93.5484,76.542,7.4622,7.3711,-1.2552
4.2703,1184.7809,31.9162,41.0706,41.2096,70.2316,22.3759,23.7202,93.5602,76.5643,7.4659,7.3934,-1.2603
4.3694,1184.7514,31.9277,41.0741,41.1956,70.2363,22.3798,23.7246,93.5411,76.5499,7.4753,7.374,-1.2339
4.4685,1184.7448,31.9113,41.0846,41.2046,70.216,22.3898,23.7413,93.5636,76.568,7.4854,7.3949,-1.2367
4.5676,1184.6698,31.916,41.0859,41.1945,70.1913,22.3775,23.7343,93.5496,76.5709,7.4681,7.3836,-1.2489
4.6667,1184.538,31.9165,41.0651,41.2042,70.1669,22.3902,23.7153,93.5594,76.5485,7.4594,7.3802,-1.2383
4.7658,1184.4224,31.9341,41.0682,41.2089,70.1731,22.3592,23.7148,93.5329,76.5651,7.4587,7.3898,-1.2511
4.8649,1184.3931,31.9184,41.082,41.1967,70.1525,22.3855,23.7263,93.5418,76.5503,7.4784,7.3737,-1.2499
4.964,1184.4123,31.9373,41.0851,41.2049,70.1478,22.3789,23.704,93.5262,76.5681,7.4791,7.3795,-1.2362
5.0631,1184.3745,31.9136,41.0926,41.2019,70.1365,22.3787,23.7008,93.5496,76.5425,7.4771,7.3942,-1.2502
5.1622,1184.2869,31.9185,41.0763,41.1958,70.1229,22.3948,23.6976,93.52,76.551,7.4721,7.3929,-1.2416
5.2613,1184.2644,31.9367,41.0823,41.1795,70.1302,22.3798,23.7111,93.5278,76.5414,7.4561,7.3917,-1.2435
5.3604,1184.1719,31.9087,41.0898,41.1723,70.0781,22.3892,23.6987,93.5292,76.529,7.4471,7.3902,-1.26
5.4595,1184.0164,31.9169,41.0753,41.1572,70.0204,22.3695,23.7261,93.5215,76.5091,7.4442,7.3819,-1.2445
5.5586,1183.9883,31.9113,41.0779,41.1485,70.0249,22.3971,23.7266,93.5077,76.4874,7.482,7.3914,-1.2613
5.6577,1183.9909,31.9397,41.0671,41.1332,69.9944,22.3735,23.7166,93.5016,76.5022,7.4802,7.3804,-1.2485
5.7568,1183.9876,31.9121,41.0816,41.1612,70.0184,22.393,23.7067,93.5153,76.4826,7.4797,7.3827,-1.2445
5.8559,1183.9839,31.9244,41.065,41.1641,69.9998,22.3816,23.7303,93.4946,76.5029,7.4607,7.3594,-1.2564
5.955,1183.9841,31.9177,41.0988,41.1485,70.0094,22.3728,23.7173,93.5284,76.491,7.4628,7.3906,-1.2548
6.0541,1183.9982,31.9192,41.0841,41.1425,70.0117,22.39,23.7227,93.5174,76.497,7.4663,7.3657,-1.2576
6.1532,1184.0397,31.914,41.0895,41.142,70.0345,22.4136,23.7297,93.5106,76.4831,7.4741,7.3873,-1.2604
6.2523,1184.0981,31.9222,41.0736,41.1569,70.0479,22.3723,23.7129,93.5224,76.4902,7.4811,7.378,-1.2324
6.3514,1184.1412,31.9024,41.0748,41.1631,70.049,22.3872,23.7204,93.5333,76.4959,7.4641,7.3818,-1.2447
6.4505,1184.2142,31.9172,41.075,41.177,70.0952,22.3799,23.7143,93.5221,76.4948,7.4603,7.3799,-1.236
6.5495,1184.4487,31.921,41.0803,41.1905,70.1328,22.3887,23.7003,93.5439,76.5304,7.4512,7.389,-1.2374
6.6486,1184.4803,31.9421,41.0719,41.1853,70.1499,22.377,23.7188,93.5514,76.5385,7.4767,7.384,-1.2434
6.7477,1184.5138,31.901,41.0689,41.1854,70.15,22.3786,23.7216,93.5412,76.5377,7.4637,7.3677,-1.246
6.8468,1184.5377,31.9302,41.0768,41.1898,70.154,22.3714,23.7167,93.5628,76.5448,7.4765,7.3738,-1.2503
6.9459,1184.5949,31.9093,41.0793,41.1962,70.1786,22.3845,23.7214,93.5495,76.5315,7.4716,7.3814,-1.2598
7.045,1184.716,31.9099,41.0618,41.227,70.2148,22.3696,23.7391,93.5491,76.5568,7.462,7.3698,-1.2461
7.1441,1184.7283,31.9251,41.0853,41.2213,70.1984,22.3841,23.7022,93.575,76.5504,7.4765,7.3825,-1.2472
7.2432,1184.7725,31.9142,41.0707,41.2047,70.2174,22.3925,23.7279,93.5609,76.5662,7.4668,7.3744,-1.2639
7.3423,1184.7932,31.9313,41.0735,41.2176,70.2345,22.3755,23.7153,93.5566,76.5649,7.4701,7.3762,-1.2379
7.4414,1184.7947,31.9328,41.0861,41.2082,70.232,22.3601,23.7116,93.5592,76.5538,7.463,7.3684,-1.2273
7.5405,1184.8503,31.9225,41.0726,41.2074,70.2392,22.3743,23.7258,93.5501,76.5547,7.4829,7.3798,-1.2548
7.6396,1184.9688,31.9198,41.0785,41.2074,70.2839,22.3846,23.702,93.5764,76.5787,7.4715,7.4054,-1.2517
7.7387,1185.0082,31.9158,41.0754,41.1994,70.2764,22.3682,23.7273,93.5629,76.5729,7.4806,7.3934,-1.2378
7.8378,1185.0141,31.9068,41.0746,41.2308,70.2906,22.3802,23.7221,93.5705,76.5731,7.4673,7.3737,-1.2426
7.9369,1185.0477,31.9154,41.0694,41.2097,70.2895,22.3974,23.7239,93.575,76.5687,7.4691,7.3663,-1.245
8.036,1185.0899,31.9093,41.0754,41.2302,70.32,22.3688,23.7084,93.5854,76.5836,7.4587,7.3862,-1.259
8.1351,1185.1737,31.9099,41.095,41.2291,70.3439,22.388,23.7172,93.6095,76.5854,7.4465,7.3632,-1.2651
8.2342,1185.2171,31.9246,41.0916,41.2241,70.3544,22.3607,23.722,93.5909,76.5993,7.4827,7.3681,-1.2542
8.3333,1185.2259,31.9182,41.0623,41.246,70.3639,22.3836,23.7176,93.5934,76.6077,7.4651,7.3816,-1.2533
8.4324,1185.2764,31.927,41.0844,41.2528,70.38,22.3859,23.699,93.5974,76.6057,7.4778,7.3914,-1.2619
8.5315,1185.4059,31.9194,41.0905,41.2642,70.4191,22.3993,23.6988,93.599,76.6377,7.4701,7.3741,-1.2305
8.6306,1185.411,31.9231,41.0573,41.2714,70.4261,22.375,23.7105,93.6102,76.6429,7.4678,7.3857,-1.2469
8.7297,1185.4623,31.9225,41.0734,41.2797,70.4336,22.3896,23.7281,93.6157,76.6325,7.4824,7.3704,-1.2635
8.8288,1185.4935,31.9251,41.0863,41.265,70.4591,22.3814,23.7106,93.6443,76.6531,7.4659,7.369,-1.2448
8.9279,1185.5168,31.9043,41.0817,41.2825,70.4464,22.3666,23.726,93.6152,76.6494,7.4927,7.3868,-1.2533
9.027,1185.5097,31.9328,41.077,41.2702,70.4607,22.3642,23.7115,93.6274,76.6408,7.457,7.3797,-1.2509
9.1261,1185.5542,31.9095,41.0723,41.2914,70.4817,22.3815,23.7161,93.6435,76.6544,7.4594,7.3836,-1.2653
9.2252,1185.5657,31.9038,41.0841,41.303,70.4745,22.3727,23.7298,93.6316,76.6601,7.4596,7.3811,-1.2268
9.3243,1185.5594,31.9117,41.0856,41.2744,70.4764,22.3858,23.7194,93.6348,76.6405,7.4714,7.3937,-1.2465
9.4234,1185.5486,31.9029,41.0901,41.2651,70.4928,22.3629,23.7259,93.6129,76.6432,7.4927,7.3854,-1.2266
9.5225,1185.4862,31.9414,41.0847,41.2321,70.4756,22.363,23.731,93.628,76.6011,7.4759,7.3763,-1.2562
9.6216,1185.4833,31.9063,41.0891,41.2179,70.4778,22.3915,23.7328,93.6053,76.5974,7.4715,7.4007,-1.2642
9.7207,1185.4886,31.9167,41.0663,41.2181,70.4707,22.3607,23.711,93.6113,76.5905,7.4518,7.3871,-1.2341
9.8198,1185.4943,31.9254,41.0965,41.2259,70.4737,22.3842,23.7186,93.628,76.5616,7.4722,7.3698,-1.2395
9.9189,1185.5024,31.931,41.0752,41.2254,70.4617,22.3806,23.7194,93.6467,76.5848,7.4823,7.3687,-1.2394
10.018,1185.5,31.9201,41.0783,41.2317,70.4649,22.3657,23.7143,93.6202,76.5911,7.4796,7.3824,-1.2632
10.1171,1185.5078,31.9263,41.0731,41.1941,70.4818,22.3827,23.7158,93.6245,76.5672,7.4758,7.3515,-1.2544
10.2162,1185.5828,31.9109,41.0769,41.2299,70.5134,22.3853,23.7228,93.6419,76.5942,7.4832,7.3845,-1.2403
10.3153,1185.781,31.9246,41.0941,41.2366,70.5666,22.388,23.7258,93.6429,76.5967,7.45,7.3752,-1.2646
10.4144,1185.7823,31.9137,41.0911,41.2174,70.5808,22.3758,23.7247,93.6249,76.6147,7.4766,7.368,-1.2496
10.5135,1186.0341,31.9219,41.0842,41.2633,70.6331,22.3813,23.7176,93.6772,76.6349,7.4692,7.3857,-1.2413
10.6126,1186.168,31.916,41.0807,41.2764,70.6685,22.3949,23.7043,93.6785,76.6263,7.4733,7.3851,-1.2519
10.7117,1186.2048,31.929,41.0704,41.276,70.6793,22.3728,23.7086,93.6553,76.6236,7.4444,7.3686,-1.2405
10.8108,1186.2542,31.9327,41.0906,41.2553,70.6844,22.3822,23.7237,93.6831,76.652,7.4714,7.3718,-1.2539
10.9099,1186.284,31.9166,41.0757,41.2749,70.6759,22.3956,23.7202,93.6685,76.6586,7.474,7.3773,-1.25
11.009,1186.381,31.9196,41.1041,41.2813,70.7375,22.3984,23.7068,93.6831,76.6638,7.4592,7.3796,-1.243
11.1081,1186.5882,31.9089,41.0839,41.3046,70.8111,22.3816,23.722,93.6871,76.6943,7.4674,7.3861,-1.2712
11.2072,1186.669,31.9312,41.0745,41.3135,70.8264,22.3727,23.7208,93.6988,76.6964,7.4749,7.3765,-1.2582
11.3063,1186.7429,31.931,41.0874,41.3243,70.8442,22.3774,23.7247,93.7343,76.7133,7.4814,7.3855,-1.2419
11.4054,1186.8955,31.9156,41.0761,41.3432,70.9166,22.3999,23.6995,93.7181,76.7227,7.4639,7.3683,-1.2598
11.5045,1187.1925,31.9385,41.0905,41.3451,71.0457,22.3801,23.7102,93.7328,76.7386,7.4694,7.3922,-1.26
11.6036,1187.3377,31.9155,41.0917,41.3739,71.0559,22.3763,23.7315,93.7575,76.7567,7.4681,7.375,-1.2436
11.7027,1187.3664,31.9202,41.0845,41.3653,71.063,22.3902,23.717,93.7497,76.7626,7.4749,7.4065,-1.2438
11.8018,1187.4053,31.911,41.0871,41.3802,71.0771,22.3759,23.7416,93.7542,76.7728,7.4755,7.3759,-1.2376
11.9009,1187.4503,31.9223,41.0811,41.383,71.1007,22.3809,23.7124,93.7502,76.7774,7.46,7.3781,-1.2615
12.0,1187.6008,31.9131,41.0862,41.3892,71.1537,22.3942,23.7002,93.7847,76.7809,7.4708,7.3763,-1.2558
12.0991,1187.6654,31.9116,41.081,41.3878,71.1887,22.3755,23.7341,93.7855,76.8048,7.4556,7.3879,-1.249
12.1982,1187.7284,31.8965,41.1032,41.4015,71.1971,22.3705,23.7248,93.7957,76.7851,7.4577,7.3814,-1.2599
12.2973,1187.7266,31.9323,41.0728,41.3873,71.2091,22.3737,23.7194,93.7819,76.7876,7.4625,7.3688,-1.2637
12.3964,1187.8597,31.923,41.1091,41.4068,71.2559,22.3805,23.7265,93.7996,76.8033,7.4797,7.3883,-1.2608
12.4955,1188.1281,31.8975,41.0891,41.4258,71.3408,22.3862,23.7132,93.8267,76.8224,7.4808,7.3886,-1.2557
12.5946,1188.2789,31.9318,41.0825,41.4204,71.3944,22.384,23.7021,93.8297,76.8209,7.4515,7.3588,-1.2467
12.6937,1188.303,31.9273,41.0798,41.4187,71.3896,22.391,23.7212,93.8211,76.8331,7.4733,7.38,-1.2469
12.7928,1188.3344,31.9076,41.0981,41.4251,71.4028,22.37,23.7407,93.8397,76.8243,7.4436,7.3795,-1.2406
12.8919,1188.3687,31.9051,41.1097,41.4229,71.4133,22.3669,23.7299,93.8241,76.8237,7.4641,7.3853,-1.2685
12.991,1188.5065,31.9049,41.1037,41.4397,71.4376,22.383,23.7218,93.8377,76.8366,7.4767,7.3894,-1.2507
13.0901,1188.7712,31.9076,41.0801,41.4694,71.566,22.3597,23.7387,93.861,76.878,7.4498,7.3907,-1.2639
13.1892,1188.9046,31.9248,41.0921,41.4711,71.6106,22.3833,23.7171,93.8695,76.8906,7.4561,7.3674,-1.2528
13.2883,1188.9215,31.9415,41.0891,41.4935,71.5954,22.3707,23.7178,93.8821,76.8933,7.4959,7.3866,-1.2522
13.3874,1188.9731,31.933,41.0837,41.4769,71.6125,22.3735,23.7065,93.8769,76.9067,7.4603,7.3964,-1.2479
13.4865,1189.0914,31.9203,41.0912,41.5053,71.6273,22.3756,23.7127,93.8896,76.9301,7.4635,7.3768,-1.2409
13.5856,1189.4692,31.9399,41.1028,41.5308,71.7761,22.3928,23.7134,93.9139,76.9693,7.4627,7.3853,-1.24
13.6847,1189.663,31.9362,41.0984,41.5639,71.8441,22.3753,23.7286,93.9365,76.9978,7.4701,7.3877,-1.2495
13.7838,1189.7768,31.9398,41.0868,41.5768,71.8666,22.3755,23.7261,93.9479,76.9997,7.4722,7.3657,-1.257
13.8829,1189.8057,31.9269,41.0948,41.6061,71.8885,22.3742,23.726,93.9429,77.0114,7.4544,7.3697,-1.2499
13.982,1189.8658,31.9403,41.0805,41.5632,71.9064,22.3624,23.7113,93.9454,77.0073,7.4753,7.3787,-1.255
14.0811,1190.221,31.9313,41.0803,41.6134,72.0499,22.3782,23.7143,93.974,77.0597,7.476,7.3889,-1.2747
14.1802,1190.3564,31.9261,41.0879,41.6246,72.0929,22.3928,23.7187,93.9881,77.0579,7.4646,7.3764,-1.2435
14.2793,1190.3985,31.9284,41.1039,41.6207,72.1052,22.3808,23.7273,94.0034,77.0688,7.4606,7.3862,-1.2525
14.3784,1190.3797,31.9277,41.0654,41.6145,72.0796,22.3848,23.726,93.9685,77.0381,7.4531,7.3823,-1.256
14.4775,1190.4462,31.9356,41.0923,41.6357,72.1048,22.3709,23.7299,94.0006,77.0632,7.4855,7.3946,-1.2465
14.5766,1190.5739,31.9358,41.088,41.6374,72.1406,22.3685,23.7176,93.9919,77.0505,7.4705,7.3792,-1.2532
14.6757,1190.8185,31.9336,41.0858,41.6508,72.2408,22.3743,23.7464,94.0353,77.1032,7.4655,7.3779,-1.2489
14.7748,1191.4091,31.932,41.0836,41.6817,72.4186,22.393,23.7173,94.0471,77.1328,7.4723,7.3812,-1.2445
14.8739,1191.4727,31.917,41.0854,41.6921,72.4541,22.385,23.7129,94.0509,77.1514,7.4866,7.403,-1.2538
14.973,1191.8318,31.9384,41.1081,41.709,72.5657,22.392,23.7185,94.0972,77.1762,7.4589,7.3683,-1.2673
15.0721,1192.1312,31.9392,41.1038,41.7361,72.6974,22.3826,23.7166,94.116,77.1938,7.4687,7.4065,-1.2554
15.1712,1192.1521,31.92,41.1095,41.742,72.6701,22.3889,23.7266,94.1054,77.192,7.4694,7.3882,-1.2728
15.2703,1192.1675,31.9353,41.0843,41.7423,72.6657,22.3711,23.7174,94.1041,77.2,7.4727,7.3775,-1.24
15.3694,1192.2224,31.9187,41.1084,41.7516,72.6947,22.3805,23.7273,94.1124,77.205,7.4942,7.3843,-1.255
15.4685,1192.9605,31.9444,41.103,41.8176,72.9412,22.3704,23.726,94.1661,77.2518,7.4729,7.3956,-1.2581
15.5676,1193.196,31.9316,41.1027,41.8295,73.0351,22.361,23.7263,94.1802,77.2866,7.483,7.4016,-1.2592
15.6667,1193.8104,31.9474,41.0968,41.8641,73.251,22.3794,23.7413,94.2346,77.3674,7.465,7.3772,-1.2513
15.7658,1193.8373,31.9248,41.093,41.8706,73.271,22.3768,23.7392,94.2362,77.3388,7.4571,7.3734,-1.2538
15.8649,1193.8175,31.9315,41.1056,41.8625,73.2566,22.3774,23.7321,94.2378,77.3532,7.4737,7.3887,-1.2619
15.964,1193.8204,31.9274,41.0859,41.8614,73.2568,22.384,23.7108,94.2568,77.35,7.4864,7.4017,-1.2433
16.0631,1194.1372,31.9169,41.0961,41.8952,73.3782,22.3746,23.7299,94.2531,77.3747,7.4652,7.3719,-1.2682
16.1622,1194.7396,31.9385,41.1016,41.9371,73.5932,22.393,23.7283,94.2809,77.4348,7.4651,7.3635,-1.2424
16.2613,1194.723,31.9355,41.1056,41.9244,73.581,22.3741,23.7177,94.3076,77.4304,7.4692,7.3817,-1.266
16.3604,1195.6722,31.9486,41.1085,42.0116,73.9428,22.3875,23.7259,94.376,77.4988,7.4668,7.3889,-1.2455
16.4595,1196.3857,31.9397,41.0917,42.0486,74.1909,22.3828,23.7283,94.4139,77.5638,7.4673,7.3713,-1.2537
16.5586,1196.5549,31.9489,41.0989,42.0523,74.2661,22.3867,23.73,94.4388,77.5735,7.4569,7.385,-1.2564
16.6577,1196.8902,31.9434,41.133,42.0819,74.405,22.3586,23.7325,94.4737,77.5964,7.459,7.3687,-1.2567
16.7568,1196.8736,31.943,41.1062,42.0734,74.4036,22.3634,23.7226,94.4747,77.5919,7.4687,7.3788,-1.2352
16.8559,1196.8695,31.9186,41.0964,42.0841,74.3813,22.3851,23.7413,94.4638,77.5829,7.4776,7.3759,-1.2724
16.955,1196.8867,31.958,41.1114,42.0719,74.3979,22.3519,23.7474,94.4615,77.5909,7.468,7.3946,-1.2686
17.0541,1197.269,31.9424,41.1052,42.1097,74.5385,22.3931,23.7212,94.4895,77.6473,7.4723,7.3748,-1.2546
17.1532,1197.4175,31.9383,41.1044,42.1278,74.589,22.3735,23.7323,94.5044,77.6415,7.4512,7.3803,-1.2438
17.2523,1197.5528,31.9457,41.1139,42.1254,74.6307,22.3787,23.7369,94.5137,77.6657,7.4647,7.3766,-1.2472
17.3514,1197.5611,31.9427,41.112,42.1209,74.6267,22.3926,23.7247,94.5161,77.6443,7.461,7.3865,-1.2631
17.4505,1197.6598,31.9245,41.1147,42.1358,74.6849,22.3933,23.7312,94.5265,77.6642,7.4772,7.3836,-1.2395
17.5495,1197.8973,31.9513,41.1072,42.1392,74.7697,22.3832,23.7464,94.5383,77.6724,7.4652,7.3867,-1.2556
17.6486,1198.0097,31.9354,41.1065,42.1476,74.8187,22.3741,23.7383,94.5502,77.6842,7.4756,7.3729,-1.2424
17.7477,1198.8032,31.9423,41.0891,42.1959,75.088,22.3751,23.7373,94.5984,77.7463,7.4781,7.3831,-1.2402
17.8468,1198.8448,31.9625,41.1067,42.1929,75.1347,22.3824,23.7209,94.5921,77.7478,7.4644,7.3778,-1.2546
17.9459,1199.2985,31.9385,41.1101,42.2248,75.2982,22.3824,23.7294,94.6285,77.7734,7.4691,7.3681,-1.2536
18.045,1199.5194,31.9306,41.1057,42.2351,75.3796,22.3872,23.7259,94.6574,77.7874,7.4682,7.3756,-1.251
18.1441,1200.1114,31.9351,41.1034,42.2695,75.62,22.369,23.7348,94.6909,77.824,7.4621,7.4001,-1.2478
18.2432,1200.2676,31.9356,41.1172,42.2824,75.6491,22.3887,23.7239,94.7088,77.8314,7.482,7.3827,-1.2484
18.3423,1200.3515,31.9294,41.1105,42.2898,75.6862,22.3894,23.7314,94.7191,77.8471,7.4717,7.3933,-1.2321
18.4414,1200.3567,31.9305,41.1067,42.2985,75.6997,22.3811,23.7406,94.7131,77.84,7.4752,7.3704,-1.2383
18.5405,1200.5566,31.9377,41.0993,42.3037,75.777,22.3654,23.7303,94.7184,77.8456,7.4742,7.3753,-1.2316
18.6396,1201.0244,31.9332,41.1078,42.3276,75.9734,22.3981,23.7349,94.7888,77.8795,7.4769,7.3896,-1.247
18.7387,1201.1315,31.9509,41.1242,42.3299,76.0115,22.3749,23.724,94.7626,77.873,7.4458,7.3843,-1.2417
18.8378,1201.5399,31.9508,41.1188,42.3384,76.1959,22.3733,23.7179,94.7936,77.8782,7.4643,7.3732,-1.2619
18.9369,1201.8653,31.9647,41.1094,42.3383,76.3297,22.3897,23.7479,94.8343,77.896,7.4672,7.3865,-1.2321
19.036,1201.991,31.9428,41.0948,42.3637,76.3826,22.392,23.7351,94.8486,77.8997,7.4835,7.3857,-1.2377
19.1351,1202.058,31.9506,41.1025,42.3572,76.4111,22.3709,23.7412,94.8379,77.9272,7.4718,7.3905,-1.2428
19.2342,1202.099,31.9531,41.1063,42.339,76.4337,22.3762,23.7273,94.8553,77.9042,7.4624,7.3828,-1.246
19.3333,1202.096,31.9668,41.1068,42.3401,76.4164,22.3884,23.7247,94.8412,77.902,7.473,7.3735,-1.2381
19.4324,1202.1397,31.9533,41.1229,42.3349,76.4605,22.3975,23.7119,94.8458,77.9033,7.4817,7.3782,-1.2423
19.5315,1202.2423,31.9489,41.0966,42.3334,76.5252,22.3808,23.7289,94.8459,77.8901,7.4666,7.38,-1.2304
19.6306,1202.3052,31.939,41.1113,42.3177,76.5474,22.3888,23.7374,94.8695,77.8768,7.4633,7.3858,-1.247
19.7297,1202.4268,31.9527,41.1201,42.3575,76.608,22.3674,23.7171,94.8804,77.8951,7.4647,7.366,-1.2597
19.8288,1202.4294,31.9515,41.1168,42.3327,76.5931,22.3625,23.737,94.8709,77.8969,7.4635,7.381,-1.2493
19.9279,1202.5933,31.9581,41.1075,42.3659,76.6866,22.3527,23.7372,94.8925,77.9137,7.4636,7.3906,-1.2453
20.027,1203.0971,31.9487,41.1318,42.3825,76.9354,22.3796,23.7177,94.9221,77.9424,7.4723,7.3872,-1.2413
20.1261,1203.2172,31.9417,41.1155,42.4161,76.9694,22.3821,23.7289,94.9121,77.939,7.4866,7.3876,-1.2453
20.2252,1203.4737,31.9531,41.1196,42.3931,77.0806,22.3787,23.7368,94.9313,77.9744,7.4652,7.3948,-1.2699
20.3243,1203.455,31.9553,41.1268,42.4088,77.0809,22.383,23.7295,94.9538,77.966,7.4656,7.3798,-1.2482
20.4234,1204.199,31.9377,41.1364,42.4709,77.408,22.3802,23.7351,94.9848,78.0486,7.4639,7.387,-1.2482
20.5225,1204.73,31.9483,41.124,42.5079,77.6296,22.3613,23.7406,95.0418,78.075,7.4565,7.3901,-1.2414
20.6216,1207.0614,31.9567,41.124,42.6945,78.6086,22.3925,23.7147,95.1969,78.2917,7.4767,7.3879,-1.2466
20.7207,1207.5152,31.9511,41.1353,42.7132,78.823,22.358,23.7321,95.2302,78.3245,7.4674,7.3812,-1.2645
20.8198,1207.7951,31.9628,41.1225,42.7436,78.9443,22.3717,23.7334,95.2368,78.349,7.4799,7.3726,-1.2694
20.9189,1208.3117,31.9554,41.1219,42.7952,79.1513,22.3862,23.7558,95.2746,78.4078,7.47,7.363,-1.2367
21.018,1208.5503,31.981,41.1506,42.8075,79.2736,22.4002,23.7197,95.3002,78.4157,7.4754,7.3824,-1.2394
21.1171,1209.8304,31.9546,41.129,42.924,79.8201,22.3665,23.7425,95.39,78.5534,7.4553,7.3851,-1.2556
21.2162,1210.1259,31.9693,41.1491,42.9391,79.9579,22.3877,23.7163,95.4427,78.5638,7.4444,7.3706,-1.2571
21.3153,1210.6116,31.9626,41.1169,43.0019,80.1827,22.3712,23.7099,95.4634,78.6036,7.4662,7.3698,-1.2584
21.4144,1210.7943,31.9635,41.1295,42.9935,80.2583,22.3825,23.7223,95.4564,78.6165,7.4896,7.3724,-1.2611
21.5135,1211.0925,31.972,41.1171,43.0308,80.4289,22.3698,23.7422,95.4697,78.6473,7.4707,7.3832,-1.2594
21.6126,1211.7462,31.9579,41.1172,43.086,80.7182,22.3812,23.715,95.5283,78.7093,7.4659,7.3829,-1.2529
